element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
234,5,3,3,True,2021-04-11T15:30:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,10,55,0,848,0,0
234,12,7,4,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,12,55,2,885,40,38
234,19,15,3,True,2021-04-25T13:00:00Z,2,1,3,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,6,55,109,1015,205,96
234,29,8,7,False,2021-05-02T13:00:00Z,0,3,4,90,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,3,3,55,21,1049,116,95
234,40,12,3,True,2021-05-10T16:30:00Z,2,0,5,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,55,344,1409,452,108
234,48,16,3,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,7,55,218,1632,280,62
234,55,13,3,False,2021-05-17T16:30:00Z,2,1,7,82,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,6,56,102,1739,199,97
234,63,5,2,False,2021-05-24T16:30:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,56,-30,1720,81,111
234,70,1,2,True,2021-07-03T13:00:00Z,3,2,9,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,5,56,-178,1546,57,235
234,79,14,4,False,2021-07-11T13:00:00Z,0,1,10,90,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,4,8,55,-36,1513,64,100
234,87,6,2,True,2021-07-18T13:00:00Z,0,1,11,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,55,-39,1477,65,104
234,90,2,3,False,2021-07-25T15:30:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,7,5,55,-57,1422,47,104
234,100,4,3,False,2021-08-02T17:00:00Z,1,2,13,78,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,55,-32,1393,53,85
234,110,10,2,True,2021-08-09T17:00:00Z,1,2,14,69,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,55,-90,1304,55,145
234,120,11,5,False,2021-08-15T15:30:00Z,1,2,15,90,0,0,0,1,0,0,0,0,0,0,1,2,1,3,0,6,9,54,-91,1214,23,114
234,123,15,2,False,2021-08-22T13:00:00Z,2,1,16,90,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,5,54,-61,1153,45,106
