element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
238,5,3,3,True,2021-04-11T15:30:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,10,65,0,1312,0,0
238,12,7,3,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,10,65,-24,1370,46,70
238,19,15,3,True,2021-04-25T13:00:00Z,2,1,3,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,9,65,-48,1339,43,91
238,29,8,3,False,2021-05-02T13:00:00Z,0,3,4,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,65,-54,1298,20,74
238,40,12,4,True,2021-05-10T16:30:00Z,2,0,5,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,9,65,-111,1193,5,116
238,48,16,3,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,10,64,-39,1155,14,53
238,55,13,3,False,2021-05-17T16:30:00Z,2,1,7,90,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,4,13,64,-38,1120,22,60
238,63,5,2,False,2021-05-24T16:30:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,64,-38,1085,7,45
238,70,1,3,True,2021-07-03T13:00:00Z,3,2,9,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,7,63,-32,1058,6,38
238,79,14,3,False,2021-07-11T13:00:00Z,0,1,10,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,63,-6,1053,5,11
238,87,6,1,True,2021-07-18T13:00:00Z,0,1,11,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,63,-10,1044,13,23
238,90,2,4,False,2021-07-25T15:30:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,3,9,63,-20,1025,8,28
238,100,4,3,False,2021-08-02T17:00:00Z,1,2,13,90,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,11,63,-8,1017,14,22
238,110,10,2,True,2021-08-09T17:00:00Z,1,2,14,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,63,0,1017,13,13
238,120,11,2,False,2021-08-15T15:30:00Z,1,2,15,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,63,-10,1009,8,18
238,123,15,3,False,2021-08-22T13:00:00Z,2,1,16,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,6,63,-19,991,5,24
