element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
239,5,3,0,True,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,2799,0,0
239,12,7,3,False,2021-04-18T15:30:00Z,1,0,2,74,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,4,79,-985,1875,13,998
239,19,15,10,True,2021-04-25T13:00:00Z,2,1,3,90,1,1,0,1,0,0,1,0,0,0,1,0,1,5,0,1,3,79,-224,1655,25,249
239,29,8,9,False,2021-05-02T13:00:00Z,0,3,4,90,0,1,1,0,0,0,0,0,0,0,2,1,2,5,1,0,7,79,491,2182,561,70
239,40,12,2,True,2021-05-10T16:30:00Z,2,0,5,90,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,3,80,779,3011,890,111
239,48,16,3,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,7,80,254,3279,345,91
239,55,13,2,False,2021-05-17T16:30:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,80,-77,3216,196,273
239,63,5,2,False,2021-05-24T16:30:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,80,-167,3061,110,277
239,70,1,5,True,2021-07-03T13:00:00Z,3,2,9,90,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,3,4,80,-113,2953,111,224
239,79,14,7,False,2021-07-11T13:00:00Z,0,1,10,90,0,1,1,0,0,0,0,0,0,0,1,0,3,1,0,1,3,80,138,3100,237,99
239,87,6,1,True,2021-07-18T13:00:00Z,0,1,11,90,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,4,80,60,3166,153,93
239,90,2,0,False,2021-07-25T15:30:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,-493,2676,22,515
239,100,4,4,False,2021-08-02T17:00:00Z,1,2,13,86,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,7,80,-87,2591,69,156
239,110,10,2,True,2021-08-09T17:00:00Z,1,2,14,90,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,5,80,-11,2581,116,127
239,120,11,9,False,2021-08-15T15:30:00Z,1,2,15,90,1,0,0,1,0,0,0,0,0,0,1,1,1,3,0,1,6,80,-95,2490,56,151
239,123,15,2,False,2021-08-22T13:00:00Z,2,1,16,62,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,3,80,197,2691,276,79
