element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
241,5,3,1,True,2021-04-11T15:30:00Z,1,1,1,90,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,120,0,12876,0,0
241,12,7,3,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,120,-516,12705,78,594
241,19,15,2,True,2021-04-25T13:00:00Z,2,1,3,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,120,-1383,11359,72,1455
241,29,8,8,False,2021-05-02T13:00:00Z,0,3,4,90,0,1,1,0,0,0,0,0,0,0,2,0,2,8,1,3,1,119,-1112,10273,106,1218
241,40,12,7,True,2021-05-10T16:30:00Z,2,0,5,90,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,3,119,-1620,8673,67,1687
241,48,16,8,True,2021-05-13T16:30:00Z,1,1,6,90,0,1,0,1,0,0,0,0,0,0,2,1,3,5,0,0,7,118,-38,8648,175,213
241,55,13,8,False,2021-05-17T16:30:00Z,2,1,7,90,0,1,0,2,0,0,0,0,0,0,2,1,1,4,1,0,8,118,-982,7679,125,1107
241,63,5,0,False,2021-05-24T16:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,423,8125,653,230
241,70,1,0,True,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,-3001,5131,33,3034
241,79,14,0,False,2021-07-11T13:00:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,-943,4188,0,943
241,87,6,0,True,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,-329,3859,0,329
241,90,2,0,False,2021-07-25T15:30:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,-166,3693,0,166
241,100,4,0,False,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,-84,3609,0,84
241,110,10,0,True,2021-08-09T17:00:00Z,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,-38,3571,0,38
241,120,11,0,False,2021-08-15T15:30:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,-64,3507,0,64
241,123,15,0,False,2021-08-22T13:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,-42,3465,0,42
