element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
243,5,3,1,True,2021-04-11T15:30:00Z,1,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,3158,0,0
243,12,7,1,False,2021-04-18T15:30:00Z,1,0,2,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,-136,3185,97,233
243,19,15,0,True,2021-04-25T13:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-114,3121,181,295
243,29,8,0,False,2021-05-02T13:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,-733,2392,9,742
243,40,12,0,True,2021-05-10T16:30:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,-542,1850,1,543
243,48,16,1,True,2021-05-13T16:30:00Z,1,1,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,-140,1710,0,140
243,55,13,0,False,2021-05-17T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-75,1637,2,77
243,63,5,0,False,2021-05-24T16:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-66,1571,0,66
243,70,1,0,True,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-34,1539,5,39
243,79,14,0,False,2021-07-11T13:00:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-33,1506,0,33
243,87,6,0,True,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-19,1487,0,19
243,90,2,0,False,2021-07-25T15:30:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-15,1472,0,15
243,100,4,0,False,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-7,1465,1,8
243,110,10,1,True,2021-08-09T17:00:00Z,1,2,14,20,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,98,-7,1458,1,8
243,120,11,6,False,2021-08-15T15:30:00Z,1,2,15,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,98,35,1493,39,4
243,123,15,2,False,2021-08-22T13:00:00Z,2,1,16,62,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,98,111,1606,130,19
