element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
247,5,3,2,True,2021-04-11T15:30:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,55,0,283,0,0
247,12,7,3,False,2021-04-18T15:30:00Z,1,0,2,82,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11,3,55,-16,283,5,21
247,19,15,2,True,2021-04-25T13:00:00Z,2,1,3,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,9,55,-12,279,11,23
247,29,8,8,False,2021-05-02T13:00:00Z,0,3,4,90,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,8,8,55,-9,277,13,22
247,40,12,8,True,2021-05-10T16:30:00Z,2,0,5,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,7,55,-2,283,16,18
247,48,16,4,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,8,55,106,392,114,8
247,55,13,1,False,2021-05-17T16:30:00Z,2,1,7,90,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,5,9,55,37,433,76,39
247,63,5,4,False,2021-05-24T16:30:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,6,55,-12,425,14,26
247,70,1,1,True,2021-07-03T13:00:00Z,3,2,9,90,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,11,3,56,-6,425,16,22
247,79,14,0,False,2021-07-11T13:00:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-69,357,4,73
247,87,6,2,True,2021-07-18T13:00:00Z,0,1,11,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,11,55,-21,336,2,23
247,90,2,2,False,2021-07-25T15:30:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,10,3,55,-26,310,3,29
247,100,4,1,False,2021-08-02T17:00:00Z,1,2,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,55,-1,310,13,14
247,110,10,0,True,2021-08-09T17:00:00Z,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-10,302,10,20
247,120,11,4,False,2021-08-15T15:30:00Z,1,2,15,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,7,55,-15,287,5,20
247,123,15,3,False,2021-08-22T13:00:00Z,2,1,16,62,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,6,54,-14,273,3,17
