element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
248,8,11,7,True,2021-04-12T17:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,55,0,1795,0,0
248,11,16,8,False,2021-04-18T13:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,2,12,55,-6,1903,29,35
248,20,8,8,True,2021-04-25T13:00:00Z,1,0,3,90,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,8,55,116,2105,153,37
248,25,3,5,False,2021-05-01T13:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,1,13,55,243,2436,287,44
248,34,5,3,False,2021-05-08T15:30:00Z,2,2,5,90,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,18,55,242,2754,302,60
248,44,4,7,True,2021-05-12T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,7,55,131,2919,172,41
248,53,1,4,False,2021-05-17T16:30:00Z,3,1,7,90,0,0,0,3,0,0,0,0,3,0,0,2,0,0,0,2,12,56,172,3124,227,55
248,62,2,3,True,2021-05-23T13:00:00Z,2,1,8,90,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,5,56,320,3485,368,48
248,72,13,4,False,2021-07-04T13:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,11,57,200,3711,249,49
248,77,6,2,True,2021-07-12T17:00:00Z,2,3,10,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,10,57,19,3738,78,59
248,81,12,3,False,2021-07-18T15:30:00Z,2,0,11,90,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,2,10,57,-91,3650,22,113
248,92,7,4,True,2021-07-25T13:00:00Z,0,1,12,90,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,57,-59,3595,36,95
248,102,14,6,True,2021-08-01T15:30:00Z,1,0,13,90,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,57,-11,3589,51,62
248,110,9,5,False,2021-08-09T17:00:00Z,1,2,14,90,0,0,0,1,0,0,1,0,6,0,0,2,0,0,0,1,18,57,-29,3562,35,64
248,116,15,6,True,2021-08-14T15:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,7,0,0,2,0,0,0,1,17,57,0,3567,71,71
248,128,11,7,False,2021-08-23T17:00:00Z,0,1,16,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,7,57,9,3582,78,69
