element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
255,8,11,7,True,2021-04-12T17:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,7,55,0,5177,0,0
255,11,16,6,False,2021-04-18T13:00:00Z,0.0,1.0,2,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,55,-61,5176,68,129
255,20,8,6,True,2021-04-25T13:00:00Z,1.0,0.0,3,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,55,-200,5006,63,263
255,25,3,3,False,2021-05-01T13:00:00Z,1.0,1.0,4,90,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,2,55,-143,4882,60,203
255,34,5,1,False,2021-05-08T15:30:00Z,2.0,2.0,5,90,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,2,55,-402,4503,58,460
255,44,4,6,True,2021-05-12T16:30:00Z,0.0,0.0,6,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,54,-229,4277,18,247
255,53,1,1,False,2021-05-17T16:30:00Z,3.0,1.0,7,87,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,5,54,-418,3863,27,445
255,62,2,3,True,2021-05-23T13:00:00Z,2.0,1.0,8,90,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,2,0,54,-88,3778,20,108
255,72,13,6,False,2021-07-04T13:00:00Z,1.0,1.0,9,90,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,6,4,53,-59,3722,61,120
255,77,6,1,True,2021-07-12T17:00:00Z,2.0,3.0,10,90,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,2,2,53,-22,3700,29,51
255,81,12,1,False,2021-07-18T15:30:00Z,2.0,0.0,11,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,5,53,-111,3590,10,121
255,92,7,2,True,2021-07-25T13:00:00Z,0.0,1.0,12,64,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,3,53,-97,3493,22,119
255,102,14,6,True,2021-08-01T15:30:00Z,1.0,0.0,13,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,53,-31,3466,44,75
255,110,9,0,False,2021-08-09T17:00:00Z,1.0,2.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-50,3416,28,78
255,116,15,3,True,2021-08-14T15:30:00Z,1.0,1.0,15,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,6,53,-61,3356,26,87
255,128,11,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-42,3316,25,67
