element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
256,8,11,6,True,2021-04-12T17:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,9,40,0,830,0,0
256,11,16,0,False,2021-04-18T13:00:00Z,0.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,426,1392,484,58
256,20,8,0,True,2021-04-25T13:00:00Z,1.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,276,1725,445,169
256,25,3,3,False,2021-05-01T13:00:00Z,1.0,1.0,4,61,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,7,40,42,1800,239,197
256,34,5,0,False,2021-05-08T15:30:00Z,2.0,2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,103,1925,274,171
256,44,4,0,True,2021-05-12T16:30:00Z,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-1,1930,98,99
256,53,1,0,False,2021-05-17T16:30:00Z,3.0,1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-181,1750,57,238
256,62,2,0,True,2021-05-23T13:00:00Z,2.0,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-38,1716,47,85
256,72,13,0,False,2021-07-04T13:00:00Z,1.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-77,1645,37,114
256,77,6,0,True,2021-07-12T17:00:00Z,2.0,3.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-57,1588,25,82
256,81,12,0,False,2021-07-18T15:30:00Z,2.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-75,1515,24,99
256,92,7,0,True,2021-07-25T13:00:00Z,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-61,1456,13,74
256,102,14,0,True,2021-08-01T15:30:00Z,1.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-82,1374,8,90
256,110,9,1,False,2021-08-09T17:00:00Z,1.0,2.0,14,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,40,-46,1328,6,52
256,116,15,1,True,2021-08-14T15:30:00Z,1.0,1.0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,39,-45,1283,14,59
256,128,11,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-50,1236,17,67
