element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
257,8,11,0,True,2021-04-12T17:00:00Z,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,45,0,0
257,11,16,6,False,2021-04-18T13:00:00Z,0.0,1.0,2,75,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,50,-2,43,1,3
257,20,8,7,True,2021-04-25T13:00:00Z,1.0,0.0,3,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,50,6,50,6,0
257,25,3,0,False,2021-05-01T13:00:00Z,1.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9,61,10,1
257,34,5,3,False,2021-05-08T15:30:00Z,2.0,2.0,5,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,9,8,50,0,62,1,1
257,44,4,8,True,2021-05-12T16:30:00Z,0.0,0.0,6,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,6,50,-3,60,1,4
257,53,1,3,False,2021-05-17T16:30:00Z,3.0,1.0,7,83,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,6,7,50,6,67,10,4
257,62,2,10,True,2021-05-23T13:00:00Z,2.0,1.0,8,90,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,6,50,4,72,6,2
257,72,13,4,False,2021-07-04T13:00:00Z,1.0,1.0,9,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,6,50,66,149,74,8
257,77,6,2,True,2021-07-12T17:00:00Z,2.0,3.0,10,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,5,9,50,160,319,167,7
257,81,12,1,False,2021-07-18T15:30:00Z,2.0,0.0,11,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,50,95,421,119,24
257,92,7,2,True,2021-07-25T13:00:00Z,0.0,1.0,12,90,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2,6,50,151,579,180,29
257,102,14,8,True,2021-08-01T15:30:00Z,1.0,0.0,13,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,6,51,94,682,115,21
257,110,9,3,False,2021-08-09T17:00:00Z,1.0,2.0,14,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,3,51,62,746,99,37
257,116,15,3,True,2021-08-14T15:30:00Z,1.0,1.0,15,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,5,51,165,916,185,20
257,128,11,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,922,49,48
