element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
260,8,11,3,True,2021-04-12T17:00:00Z,0,0,1,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55,0,256,0,0
260,11,16,6,False,2021-04-18T13:00:00Z,0,1,2,75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55,-4,267,8,12
260,20,8,0,True,2021-04-25T13:00:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,60,345,72,12
260,25,3,0,False,2021-05-01T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-41,311,7,48
260,34,5,1,False,2021-05-08T15:30:00Z,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-52,260,1,53
260,44,4,0,True,2021-05-12T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-30,231,1,31
260,53,1,0,False,2021-05-17T16:30:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-22,209,0,22
260,62,2,1,True,2021-05-23T13:00:00Z,2,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-11,198,1,12
260,72,13,1,False,2021-07-04T13:00:00Z,1,1,9,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-7,191,0,7
260,77,6,0,True,2021-07-12T17:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-7,184,1,8
260,81,12,0,False,2021-07-18T15:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-5,179,1,6
260,92,7,0,True,2021-07-25T13:00:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-3,176,0,3
260,102,14,0,True,2021-08-01T15:30:00Z,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-6,171,0,6
260,110,9,0,False,2021-08-09T17:00:00Z,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-5,166,0,5
260,116,15,0,True,2021-08-14T15:30:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-4,162,0,4
260,128,11,0,False,2021-08-23T17:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-3,160,0,3
