element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
261,8,11,4,True,2021-04-12T17:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,1,2,55,0,138,0,0
261,11,16,3,False,2021-04-18T13:00:00Z,0.0,1.0,2,90,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,3,55,36,186,44,8
261,20,8,3,True,2021-04-25T13:00:00Z,1.0,0.0,3,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55,36,229,55,19
261,25,3,0,False,2021-05-01T13:00:00Z,1.0,1.0,4,51,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,55,-7,223,12,19
261,34,5,0,False,2021-05-08T15:30:00Z,2.0,2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-40,183,3,43
261,44,4,1,True,2021-05-12T16:30:00Z,0.0,0.0,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,55,-21,163,1,22
261,53,1,0,False,2021-05-17T16:30:00Z,3.0,1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-18,145,0,18
261,62,2,0,True,2021-05-23T13:00:00Z,2.0,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-15,130,0,15
261,72,13,3,False,2021-07-04T13:00:00Z,1.0,1.0,9,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,-8,122,0,8
261,77,6,1,True,2021-07-12T17:00:00Z,2.0,3.0,10,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-10,112,0,10
261,81,12,1,False,2021-07-18T15:30:00Z,2.0,0.0,11,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-2,110,1,3
261,92,7,1,True,2021-07-25T13:00:00Z,0.0,1.0,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,53,-6,104,0,6
261,102,14,0,True,2021-08-01T15:30:00Z,1.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-4,100,0,4
261,110,9,0,False,2021-08-09T17:00:00Z,1.0,2.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-4,96,0,4
261,116,15,0,True,2021-08-14T15:30:00Z,1.0,1.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-3,93,0,3
261,128,11,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-3,90,0,3
