element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
266,8,11,4,True,2021-04-12T17:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,65,0,1086,0,0
266,11,16,4,False,2021-04-18T13:00:00Z,0.0,1.0,2,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,8,65,-31,1098,23,54
266,20,8,4,True,2021-04-25T13:00:00Z,1.0,0.0,3,90,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,10,65,-42,1068,17,59
266,25,3,4,False,2021-05-01T13:00:00Z,1.0,1.0,4,79,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,3,8,65,-37,1041,16,53
266,34,5,3,False,2021-05-08T15:30:00Z,2.0,2.0,5,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,8,65,-45,1005,18,63
266,44,4,3,True,2021-05-12T16:30:00Z,0.0,0.0,6,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,64,-41,971,7,48
266,53,1,3,False,2021-05-17T16:30:00Z,3.0,1.0,7,90,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,2,6,64,-58,914,4,62
266,62,2,7,True,2021-05-23T13:00:00Z,2.0,1.0,8,90,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,5,10,64,-39,878,4,43
266,72,13,2,False,2021-07-04T13:00:00Z,1.0,1.0,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,63,8,892,26,18
266,77,6,3,True,2021-07-12T17:00:00Z,2.0,3.0,10,90,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,1,13,63,-7,887,6,13
266,81,12,4,False,2021-07-18T15:30:00Z,2.0,0.0,11,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,12,63,-2,885,10,12
266,92,7,3,True,2021-07-25T13:00:00Z,0.0,1.0,12,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,9,63,-14,874,10,24
266,102,14,4,True,2021-08-01T15:30:00Z,1.0,0.0,13,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,5,8,63,18,894,32,14
266,110,9,3,False,2021-08-09T17:00:00Z,1.0,2.0,14,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,7,63,6,903,15,9
266,116,15,3,True,2021-08-14T15:30:00Z,1.0,1.0,15,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,4,8,63,-13,892,19,32
266,128,11,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-11,887,12,23
