element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
267,8,11,0,True,2021-04-12T17:00:00Z,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,37,0,0
267,11,16,0,False,2021-04-18T13:00:00Z,0.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-4,34,0,4
267,20,8,6,True,2021-04-25T13:00:00Z,1.0,0.0,3,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55,-2,32,0,2
267,25,3,0,False,2021-05-01T13:00:00Z,1.0,1.0,4,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,55,10,45,11,1
267,34,5,2,False,2021-05-08T15:30:00Z,2.0,2.0,5,78,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,55,0,46,3,3
267,44,4,1,True,2021-05-12T16:30:00Z,0.0,0.0,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55,-2,45,0,2
267,53,1,1,False,2021-05-17T16:30:00Z,3.0,1.0,7,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,45,1,1
267,62,2,1,True,2021-05-23T13:00:00Z,2.0,1.0,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,55,-2,43,0,2
267,72,13,0,False,2021-07-04T13:00:00Z,1.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-2,41,0,2
267,77,6,1,True,2021-07-12T17:00:00Z,2.0,3.0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-1,40,1,2
267,81,12,1,False,2021-07-18T15:30:00Z,2.0,0.0,11,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,40,1,1
267,92,7,2,True,2021-07-25T13:00:00Z,0.0,1.0,12,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,55,-1,39,0,1
267,102,14,3,True,2021-08-01T15:30:00Z,1.0,0.0,13,76,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,55,0,39,0,0
267,110,9,3,False,2021-08-09T17:00:00Z,1.0,2.0,14,82,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,55,0,39,0,0
267,116,15,5,True,2021-08-14T15:30:00Z,1.0,1.0,15,90,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,3,55,2,41,2,0
267,128,11,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,43,4,2
