element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
274,8,10,0,False,2021-04-12T17:00:00Z,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,174,0,0
274,14,8,0,True,2021-04-18T13:00:00Z,5.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,191,3,3
274,21,1,0,False,2021-04-25T15:30:00Z,1.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-7,185,5,12
274,30,13,0,True,2021-05-02T13:00:00Z,1.0,2.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-6,180,0,6
274,39,14,3,False,2021-05-09T13:00:00Z,1.0,0.0,5,90,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,10,45,-2,178,2,4
274,42,7,0,False,2021-05-12T16:30:00Z,2.0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6,185,8,2
274,56,12,0,True,2021-05-17T16:30:00Z,1.0,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,188,7,4
274,58,3,0,True,2021-05-22T15:30:00Z,3.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1,187,0,1
274,66,16,0,False,2021-07-03T15:30:00Z,3.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2,186,1,3
274,80,4,0,True,2021-07-11T15:30:00Z,2.0,3.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2,184,0,2
274,85,5,0,False,2021-07-17T15:30:00Z,3.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-4,180,1,5
274,96,15,0,True,2021-07-26T17:00:00Z,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,181,1,1
274,104,2,0,True,2021-08-01T15:30:00Z,1.0,1.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,181,0,0
274,105,6,0,False,2021-08-08T13:00:00Z,5.0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2,179,0,2
274,120,9,0,True,2021-08-15T15:30:00Z,1.0,2.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,179,1,1
274,128,10,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1,179,0,1
