element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
275,8,10,8,False,2021-04-12T17:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,8,60,0,2396,0,0
275,14,8,7,True,2021-04-18T13:00:00Z,5,0,2,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,11,60,4,2537,56,52
275,21,1,5,False,2021-04-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,1,0,9,0,0,1,0,0,0,1,11,60,-30,2570,53,83
275,30,13,4,True,2021-05-02T13:00:00Z,1,2,4,90,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,2,11,60,199,2814,230,31
275,39,14,0,False,2021-05-09T13:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,2849,78,72
275,42,7,5,False,2021-05-12T16:30:00Z,2,0,6,90,0,0,0,2,0,0,0,0,7,0,0,2,0,0,0,1,12,60,-162,2701,9,171
275,56,12,2,True,2021-05-17T16:30:00Z,1,2,7,90,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,11,60,-56,2655,10,66
275,58,3,7,True,2021-05-22T15:30:00Z,3,0,8,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,9,60,-26,2640,24,50
275,66,16,1,False,2021-07-03T15:30:00Z,3,1,9,90,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,3,3,60,-30,2625,22,52
275,80,4,4,True,2021-07-11T15:30:00Z,2,3,10,90,0,0,0,3,0,0,0,0,6,0,0,1,0,0,0,3,8,60,-65,2562,7,72
275,85,5,4,False,2021-07-17T15:30:00Z,3,0,11,90,0,0,0,3,0,0,0,0,5,0,0,2,0,0,0,2,17,60,-65,2502,5,70
275,96,15,7,True,2021-07-26T17:00:00Z,0,1,12,90,0,0,0,1,0,0,0,0,9,0,0,2,0,0,0,2,13,60,-61,2445,4,65
275,104,2,5,True,2021-08-01T15:30:00Z,1,1,13,90,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,2,14,60,-47,2400,1,48
275,105,6,2,False,2021-08-08T13:00:00Z,5,0,14,90,0,0,0,5,0,0,0,0,3,0,0,1,0,0,0,1,11,60,-32,2370,4,36
275,120,9,2,True,2021-08-15T15:30:00Z,1,2,15,90,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,8,59,-65,2308,3,68
275,128,10,0,True,2021-08-23T17:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-63,2252,3,66
