element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
277,8,10,0,False,2021-04-12T17:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,81,0,0
277,14,8,0,True,2021-04-18T13:00:00Z,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-8,78,1,9
277,21,1,0,False,2021-04-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-8,71,0,8
277,30,13,0,True,2021-05-02T13:00:00Z,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-6,65,1,7
277,39,14,0,False,2021-05-09T13:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-4,62,0,4
277,42,7,0,False,2021-05-12T16:30:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1,62,0,1
277,56,12,0,True,2021-05-17T16:30:00Z,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-3,60,0,3
277,58,3,0,True,2021-05-22T15:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-6,54,0,6
277,66,16,0,False,2021-07-03T15:30:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,54,0,0
277,80,4,0,True,2021-07-11T15:30:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,-1,53,0,1
277,85,5,0,False,2021-07-17T15:30:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,54,1,0
277,96,15,0,True,2021-07-26T17:00:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,55,1,0
277,104,2,0,True,2021-08-01T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,-1,54,0,1
277,105,6,1,False,2021-08-08T13:00:00Z,5,0,14,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,42,-1,53,0,1
277,120,9,0,True,2021-08-15T15:30:00Z,1,2,15,45,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,3,42,-2,51,0,2
277,128,10,7,True,2021-08-23T17:00:00Z,0,1,16,69,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,6,42,1,52,2,1
