element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
278,8,10,7,False,2021-04-12T17:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,5,55,0,1325,0,0
278,14,8,13,True,2021-04-18T13:00:00Z,5,0,2,90,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,3,55,-15,1385,19,34
278,21,1,1,False,2021-04-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,3,55,595,2178,645,50
278,30,13,6,True,2021-05-02T13:00:00Z,1,2,4,90,0,1,0,2,0,0,0,0,0,0,1,1,0,1,1,9,3,56,296,2573,363,67
278,39,14,2,False,2021-05-09T13:00:00Z,1,0,5,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,7,56,112,2761,183,71
278,42,7,0,False,2021-05-12T16:30:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-71,2716,34,105
278,56,12,0,True,2021-05-17T16:30:00Z,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-244,2480,14,258
278,58,3,6,True,2021-05-22T15:30:00Z,3,0,8,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,55,-151,2335,16,167
278,66,16,2,False,2021-07-03T15:30:00Z,3,1,9,90,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,9,1,55,-12,2333,35,47
278,80,4,3,True,2021-07-11T15:30:00Z,2,3,10,90,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,6,7,55,-40,2297,14,54
278,85,5,3,False,2021-07-17T15:30:00Z,3,0,11,90,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,6,6,55,-44,2257,13,57
278,96,15,1,True,2021-07-26T17:00:00Z,0,1,12,90,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,10,4,55,-51,2210,17,68
278,104,2,3,True,2021-08-01T15:30:00Z,1,1,13,90,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,17,6,55,-54,2162,4,58
278,105,6,0,False,2021-08-08T13:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-137,2028,2,139
278,120,9,3,True,2021-08-15T15:30:00Z,1,2,15,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,12,2,55,-88,1940,3,91
278,128,10,3,True,2021-08-23T17:00:00Z,0,1,16,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,55,-49,1895,3,52
