element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
279,8,10,1,False,2021-04-12T17:00:00Z,0.0,0.0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45,0,216,0,0
279,14,8,0,True,2021-04-18T13:00:00Z,5.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-13,218,3,16
279,21,1,0,False,2021-04-25T15:30:00Z,1.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-29,189,0,29
279,30,13,0,True,2021-05-02T13:00:00Z,1.0,2.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-21,168,0,21
279,39,14,2,False,2021-05-09T13:00:00Z,1.0,0.0,5,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,45,-10,158,0,10
279,42,7,3,False,2021-05-12T16:30:00Z,2.0,0.0,6,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,3,45,-10,148,0,10
279,56,12,3,True,2021-05-17T16:30:00Z,1.0,2.0,7,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,3,45,1,149,3,2
279,58,3,4,True,2021-05-22T15:30:00Z,3.0,0.0,8,65,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,2,6,45,-9,141,0,9
279,66,16,2,False,2021-07-03T15:30:00Z,3.0,1.0,9,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,4,44,-3,138,2,5
279,80,4,1,True,2021-07-11T15:30:00Z,2.0,3.0,10,59,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,2,44,0,138,3,3
279,85,5,2,False,2021-07-17T15:30:00Z,3.0,0.0,11,90,0,0,0,3,0,0,0,0,0,1,0,2,0,2,0,8,8,44,0,138,3,3
279,96,15,0,True,2021-07-26T17:00:00Z,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,141,5,3
279,104,2,0,True,2021-08-01T15:30:00Z,1.0,1.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-3,139,4,7
279,105,6,1,False,2021-08-08T13:00:00Z,5.0,0.0,14,90,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,4,4,44,2,141,3,1
279,120,9,0,True,2021-08-15T15:30:00Z,1.0,2.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-3,138,0,3
279,128,10,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1,137,1,2
