element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
280,8,10,7,False,2021-04-12T17:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,4,5,45,0,596,0,0
280,14,8,7,True,2021-04-18T13:00:00Z,5.0,0.0,2,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,2,45,12,646,28,16
280,21,1,10,False,2021-04-25T15:30:00Z,1.0,1.0,3,90,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,14,2,45,388,1104,476,88
280,30,13,7,True,2021-05-02T13:00:00Z,1.0,2.0,4,90,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,46,2165,3412,2235,70
280,39,14,3,False,2021-05-09T13:00:00Z,1.0,0.0,5,69,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,3,47,1662,5208,1770,108
280,42,7,1,False,2021-05-12T16:30:00Z,2.0,0.0,6,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,4,47,332,5591,464,132
280,56,12,0,True,2021-05-17T16:30:00Z,1.0,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-36,5596,377,413
280,58,3,1,True,2021-05-22T15:30:00Z,3.0,0.0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,47,-23,5608,232,255
280,66,16,0,False,2021-07-03T15:30:00Z,3.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1244,4378,48,1292
280,80,4,0,True,2021-07-11T15:30:00Z,2.0,3.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1278,3100,0,1278
280,85,5,0,False,2021-07-17T15:30:00Z,3.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-558,2542,0,558
280,96,15,0,True,2021-07-26T17:00:00Z,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-324,2218,0,324
280,104,2,0,True,2021-08-01T15:30:00Z,1.0,1.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-203,2015,0,203
280,105,6,0,False,2021-08-08T13:00:00Z,5.0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-106,1909,0,106
280,120,9,0,True,2021-08-15T15:30:00Z,1.0,2.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-113,1796,0,113
280,128,10,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-80,1716,0,80
