element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
281,8,10,8,False,2021-04-12T17:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,13,5,50,0,1256,0,0
281,14,8,6,True,2021-04-18T13:00:00Z,5,0,2,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,50,49,1405,94,45
281,21,1,3,False,2021-04-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,2,50,-66,1367,52,118
281,30,13,3,True,2021-05-02T13:00:00Z,1,2,4,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,12,6,50,10,1385,68,58
281,39,14,3,False,2021-05-09T13:00:00Z,1,0,5,90,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,10,7,50,-97,1295,26,123
281,42,7,1,False,2021-05-12T16:30:00Z,2,0,6,90,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,8,4,50,-94,1204,5,99
281,56,12,2,True,2021-05-17T16:30:00Z,1,2,7,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,5,7,49,-229,977,5,234
281,58,3,7,True,2021-05-22T15:30:00Z,3,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,1,49,-33,947,9,42
281,66,16,2,False,2021-07-03T15:30:00Z,3,1,9,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4,6,48,41,994,90,49
281,80,4,1,True,2021-07-11T15:30:00Z,2,3,10,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,48,44,1040,80,36
281,85,5,1,False,2021-07-17T15:30:00Z,3,0,11,90,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,6,3,48,-38,1003,19,57
281,96,15,0,True,2021-07-26T17:00:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-74,929,9,83
281,104,2,4,True,2021-08-01T15:30:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,1,48,-59,871,1,60
281,105,6,1,False,2021-08-08T13:00:00Z,5,0,14,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,48,-31,840,2,33
281,120,9,1,True,2021-08-15T15:30:00Z,1,2,15,90,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,9,6,48,-57,783,1,58
281,128,10,4,True,2021-08-23T17:00:00Z,0,1,16,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,13,5,48,-58,725,0,58
