element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
283,8,10,4,False,2021-04-12T17:00:00Z,0.0,0.0,1,72,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,50,0,2916,0,0
283,14,8,7,True,2021-04-18T13:00:00Z,5.0,0.0,2,77,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,4,9,50,-93,2899,33,126
283,21,1,2,False,2021-04-25T15:30:00Z,1.0,1.0,3,90,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,3,50,84,3040,179,95
283,30,13,2,True,2021-05-02T13:00:00Z,1.0,2.0,4,90,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,5,6,50,6,3066,96,90
283,39,14,3,False,2021-05-09T13:00:00Z,1.0,0.0,5,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,8,50,-140,2939,31,171
283,42,7,1,False,2021-05-12T16:30:00Z,2.0,0.0,6,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,50,-118,2824,15,133
283,56,12,0,True,2021-05-17T16:30:00Z,1.0,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-196,2630,8,204
283,58,3,0,True,2021-05-22T15:30:00Z,3.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-389,2241,0,389
283,66,16,0,False,2021-07-03T15:30:00Z,3.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-162,2079,1,163
283,80,4,2,True,2021-07-11T15:30:00Z,2.0,3.0,10,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,49,-62,2017,2,64
283,85,5,2,False,2021-07-17T15:30:00Z,3.0,0.0,11,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,49,-61,1958,1,62
283,96,15,4,True,2021-07-26T17:00:00Z,0.0,1.0,12,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,9,49,-46,1912,4,50
283,104,2,3,True,2021-08-01T15:30:00Z,1.0,1.0,13,90,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,49,-42,1871,10,52
283,105,6,0,False,2021-08-08T13:00:00Z,5.0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-32,1839,0,32
283,120,9,1,True,2021-08-15T15:30:00Z,1.0,2.0,15,79,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,4,48,-60,1780,1,61
283,128,10,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-40,1741,1,41
