element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
284,8,10,3,False,2021-04-12T17:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50,0,218,0,0
284,14,8,0,True,2021-04-18T13:00:00Z,5.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-34,189,1,35
284,21,1,0,False,2021-04-25T15:30:00Z,1.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-20,169,0,20
284,30,13,2,True,2021-05-02T13:00:00Z,1.0,2.0,4,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,50,-10,160,1,11
284,39,14,1,False,2021-05-09T13:00:00Z,1.0,0.0,5,57,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,5,50,-1,159,2,3
284,42,7,1,False,2021-05-12T16:30:00Z,2.0,0.0,6,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,50,-7,152,0,7
284,56,12,1,True,2021-05-17T16:30:00Z,1.0,2.0,7,90,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,4,50,-10,142,0,10
284,58,3,3,True,2021-05-22T15:30:00Z,3.0,0.0,8,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,50,-5,137,0,5
284,66,16,2,False,2021-07-03T15:30:00Z,3.0,1.0,9,90,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,3,7,49,-9,128,0,9
284,80,4,2,True,2021-07-11T15:30:00Z,2.0,3.0,10,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,5,4,49,-1,127,0,1
284,85,5,1,False,2021-07-17T15:30:00Z,3.0,0.0,11,78,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,5,49,-3,124,0,3
284,96,15,0,True,2021-07-26T17:00:00Z,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2,122,2,4
284,104,2,2,True,2021-08-01T15:30:00Z,1.0,1.0,13,90,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,4,49,-1,121,0,1
284,105,6,2,False,2021-08-08T13:00:00Z,5.0,0.0,14,90,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,2,49,0,121,0,0
284,120,9,5,True,2021-08-15T15:30:00Z,1.0,2.0,15,87,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,2,3,49,-4,117,0,4
284,128,10,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,119,1,0
