element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
285,8,10,0,False,2021-04-12T17:00:00Z,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,311,0,0
285,14,8,6,True,2021-04-18T13:00:00Z,5.0,0.0,2,77,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,6,45,-15,320,5,20
285,21,1,2,False,2021-04-25T15:30:00Z,1.0,1.0,3,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,45,6,334,16,10
285,30,13,2,True,2021-05-02T13:00:00Z,1.0,2.0,4,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,45,11,358,30,19
285,39,14,0,False,2021-05-09T13:00:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,11,370,30,19
285,42,7,2,False,2021-05-12T16:30:00Z,2.0,0.0,6,82,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,45,-17,354,2,19
285,56,12,3,True,2021-05-17T16:30:00Z,1.0,2.0,7,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,45,-13,343,2,15
285,58,3,8,True,2021-05-22T15:30:00Z,3.0,0.0,8,90,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,2,8,45,-5,339,4,9
285,66,16,3,False,2021-07-03T15:30:00Z,3.0,1.0,9,90,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,6,45,-2,340,17,19
285,80,4,2,True,2021-07-11T15:30:00Z,2.0,3.0,10,76,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,45,11,354,19,8
285,85,5,2,False,2021-07-17T15:30:00Z,3.0,0.0,11,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,45,14,370,21,7
285,96,15,1,True,2021-07-26T17:00:00Z,0.0,1.0,12,90,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,45,4,377,23,19
285,104,2,1,True,2021-08-01T15:30:00Z,1.0,1.0,13,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,45,-8,373,12,20
285,105,6,2,False,2021-08-08T13:00:00Z,5.0,0.0,14,90,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,4,45,-16,358,4,20
285,120,9,1,True,2021-08-15T15:30:00Z,1.0,2.0,15,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,45,-20,339,4,24
285,128,10,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-5,334,7,12
