element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
288,8,10,0,False,2021-04-12T17:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,98,0,0
288,14,8,0,True,2021-04-18T13:00:00Z,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,98,4,4
288,21,1,0,False,2021-04-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-11,87,0,11
288,30,13,0,True,2021-05-02T13:00:00Z,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-14,73,0,14
288,39,14,0,False,2021-05-09T13:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-12,61,0,12
288,42,7,0,False,2021-05-12T16:30:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-1,60,0,1
288,56,12,0,True,2021-05-17T16:30:00Z,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-6,54,0,6
288,58,3,0,True,2021-05-22T15:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2,52,0,2
288,66,16,0,False,2021-07-03T15:30:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-2,50,0,2
288,80,4,0,True,2021-07-11T15:30:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,49,0,1
288,85,5,0,False,2021-07-17T15:30:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,49,0,0
288,96,15,0,True,2021-07-26T17:00:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,48,0,1
288,104,2,0,True,2021-08-01T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,0
288,105,6,1,False,2021-08-08T13:00:00Z,5,0,14,57,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,48,0,48,0,0
288,120,9,1,True,2021-08-15T15:30:00Z,1,2,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,48,0,48,0,0
288,128,10,0,True,2021-08-23T17:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,49,0,0
