element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
289,8,10,1,False,2021-04-12T17:00:00Z,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,55,0,184,0,0
289,14,8,4,True,2021-04-18T13:00:00Z,5,0,2,55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,-13,177,0,13
289,21,1,3,False,2021-04-25T15:30:00Z,1,1,3,66,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,7,55,1,185,9,8
289,30,13,2,True,2021-05-02T13:00:00Z,1,2,4,69,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,55,13,201,16,3
289,39,14,1,False,2021-05-09T13:00:00Z,1,0,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,55,-12,190,6,18
289,42,7,3,False,2021-05-12T16:30:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,55,-16,176,2,18
289,56,12,2,True,2021-05-17T16:30:00Z,1,2,7,75,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,54,-14,162,2,16
289,58,3,0,True,2021-05-22T15:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-2,161,2,4
289,66,16,0,False,2021-07-03T15:30:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-6,157,0,6
289,80,4,0,True,2021-07-11T15:30:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-6,151,0,6
289,85,5,0,False,2021-07-17T15:30:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-9,142,0,9
289,96,15,0,True,2021-07-26T17:00:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-7,135,0,7
289,104,2,0,True,2021-08-01T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-3,132,0,3
289,105,6,0,False,2021-08-08T13:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-2,130,1,3
289,120,9,0,True,2021-08-15T15:30:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-1,130,0,1
289,128,10,0,True,2021-08-23T17:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,130,0,0
