element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
290,8,10,3,False,2021-04-12T17:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,4,55,0,523,0,0
290,14,8,7,True,2021-04-18T13:00:00Z,5.0,0.0,2,90,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,3,1,55,-26,508,2,28
290,21,1,2,False,2021-04-25T15:30:00Z,1.0,1.0,3,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,55,5,526,21,16
290,30,13,2,True,2021-05-02T13:00:00Z,1.0,2.0,4,69,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,3,55,-21,513,15,36
290,39,14,4,False,2021-05-09T13:00:00Z,1.0,0.0,5,90,0,0,0,1,0,0,0,0,0,0,2,0,4,4,0,2,5,55,-24,493,9,33
290,42,7,3,False,2021-05-12T16:30:00Z,2.0,0.0,6,90,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,4,7,55,-15,479,2,17
290,56,12,2,True,2021-05-17T16:30:00Z,1.0,2.0,7,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,55,-7,474,6,13
290,58,3,13,True,2021-05-22T15:30:00Z,3.0,0.0,8,90,1,1,1,0,0,0,0,0,0,0,2,0,5,5,1,0,4,55,-13,462,4,17
290,66,16,5,False,2021-07-03T15:30:00Z,3.0,1.0,9,85,0,0,0,2,0,0,0,0,0,0,2,1,3,5,1,2,6,54,47,520,65,18
290,80,4,4,True,2021-07-11T15:30:00Z,2.0,3.0,10,90,0,0,0,3,0,0,1,0,0,0,2,1,7,5,0,2,6,54,42,567,53,11
290,85,5,3,False,2021-07-17T15:30:00Z,3.0,0.0,11,72,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,1,7,54,73,650,86,13
290,96,15,4,True,2021-07-26T17:00:00Z,0.0,1.0,12,90,0,0,0,1,0,0,1,0,0,0,2,1,3,3,0,3,6,54,88,749,107,19
290,104,2,4,True,2021-08-01T15:30:00Z,1.0,1.0,13,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,10,54,51,806,70,19
290,105,6,2,False,2021-08-08T13:00:00Z,5.0,0.0,14,90,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,54,10,823,29,19
290,120,9,3,True,2021-08-15T15:30:00Z,1.0,2.0,15,79,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,6,54,-45,785,14,59
290,128,10,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-7,787,29,36
