element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
293,8,10,4,False,2021-04-12T17:00:00Z,0,0,1,75,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,50,0,8,0,0
293,14,8,3,True,2021-04-18T13:00:00Z,5,0,2,66,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,50,0,11,2,2
293,21,1,0,False,2021-04-25T15:30:00Z,1,1,3,84,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6,2,50,3,16,5,2
293,30,13,0,True,2021-05-02T13:00:00Z,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-2,16,0,2
293,39,14,1,False,2021-05-09T13:00:00Z,1,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,50,-2,14,0,2
293,42,7,2,False,2021-05-12T16:30:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,5,50,-1,13,0,1
293,56,12,2,True,2021-05-17T16:30:00Z,1,2,7,78,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,50,0,13,0,0
293,58,3,3,True,2021-05-22T15:30:00Z,3,0,8,69,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,6,50,-2,12,1,3
293,66,16,2,False,2021-07-03T15:30:00Z,3,1,9,75,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,4,49,0,12,1,1
293,80,4,0,True,2021-07-11T15:30:00Z,2,3,10,59,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,3,48,-1,11,0,1
293,85,5,1,False,2021-07-17T15:30:00Z,3,0,11,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,48,0,11,0,0
293,96,15,3,True,2021-07-26T17:00:00Z,0,1,12,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,7,48,0,11,0,0
293,104,2,0,True,2021-08-01T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,12,1,0
293,105,6,0,False,2021-08-08T13:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,12,0,0
293,120,9,0,True,2021-08-15T15:30:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,12,0,0
293,128,10,0,True,2021-08-23T17:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,12,0,0
