element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
297,8,10,2,False,2021-04-12T17:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,65,0,1595,0,0
297,14,8,18,True,2021-04-18T13:00:00Z,5.0,0.0,2,77,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,65,-61,1565,30,91
297,21,1,4,False,2021-04-25T15:30:00Z,1.0,1.0,3,90,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,7,5,66,1908,3716,2074,166
297,30,13,2,True,2021-05-02T13:00:00Z,1.0,2.0,4,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,67,2018,5916,2126,108
297,39,14,2,False,2021-05-09T13:00:00Z,1.0,0.0,5,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,67,190,6204,593,403
297,42,7,2,False,2021-05-12T16:30:00Z,2.0,0.0,6,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,67,-728,5518,155,883
297,56,12,7,True,2021-05-17T16:30:00Z,1.0,2.0,7,90,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,66,-822,4719,95,917
297,58,3,9,True,2021-05-22T15:30:00Z,3.0,0.0,8,90,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,66,-288,4447,97,385
297,66,16,0,False,2021-07-03T15:30:00Z,3.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,-277,4197,226,503
297,80,4,0,True,2021-07-11T15:30:00Z,2.0,3.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-750,3447,3,753
297,85,5,0,False,2021-07-17T15:30:00Z,3.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-365,3082,0,365
297,96,15,0,True,2021-07-26T17:00:00Z,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-224,2858,6,230
297,104,2,2,True,2021-08-01T15:30:00Z,1.0,1.0,13,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,64,-79,2783,20,99
297,105,6,1,False,2021-08-08T13:00:00Z,5.0,0.0,14,90,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,64,-12,2775,34,46
297,120,9,2,True,2021-08-15T15:30:00Z,1.0,2.0,15,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,64,-112,2665,13,125
297,128,10,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-56,2611,42,98
