element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
298,7,16,8,True,2021-04-12T17:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,7,60,0,1868,0,0
298,15,4,3,False,2021-04-19T17:00:00Z,2,0,2,90,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,1,10,60,54,2108,103,49
298,18,2,8,True,2021-04-25T15:30:00Z,2,0,3,90,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,2,11,60,-110,2039,29,139
298,26,5,7,True,2021-05-02T15:30:00Z,1,0,4,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,10,60,45,2125,83,38
298,40,9,2,False,2021-05-10T16:30:00Z,2,0,5,90,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,6,60,133,2302,194,61
298,46,1,4,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,3,10,60,-12,2305,58,70
298,56,11,2,False,2021-05-17T16:30:00Z,1,2,7,90,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2,8,60,-1,2315,53,54
298,57,14,2,True,2021-05-22T13:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,9,60,243,2583,282,39
298,65,6,2,False,2021-07-04T13:00:00Z,2,1,9,90,0,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,7,61,-64,2524,60,124
298,73,13,3,True,2021-07-10T15:30:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,61,-64,2466,34,98
298,81,10,8,True,2021-07-18T15:30:00Z,2,0,11,90,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,6,61,-127,2346,6,133
298,95,8,3,False,2021-07-26T17:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,5,61,12,2368,61,49
298,97,15,7,True,2021-08-02T17:00:00Z,1,0,13,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,6,61,-23,2348,27,50
298,106,7,4,False,2021-08-08T13:00:00Z,1,4,14,90,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,2,10,61,-55,2294,9,64
298,115,3,8,False,2021-08-16T17:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,8,60,-181,2122,18,199
298,121,6,0,True,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-111,2022,22,133
