element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
302,7,16,0,True,2021-04-12T17:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,5055,0,0
302,15,4,0,False,2021-04-19T17:00:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-1623,3533,7,1630
302,18,2,0,True,2021-04-25T15:30:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-941,2596,1,942
302,26,5,0,True,2021-05-02T15:30:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-610,1986,0,610
302,40,9,0,False,2021-05-10T16:30:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-362,1624,0,362
302,46,1,0,True,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-116,1508,0,116
302,56,11,0,False,2021-05-17T16:30:00Z,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-73,1435,0,73
302,57,14,0,True,2021-05-22T13:00:00Z,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-63,1372,0,63
302,65,6,1,False,2021-07-04T13:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,4,61,-13,1364,27,40
302,73,13,2,True,2021-07-10T15:30:00Z,2,1,10,71,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,7,61,63,1427,76,13
302,81,10,1,True,2021-07-18T15:30:00Z,2,0,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,61,1,1431,21,20
302,95,8,0,False,2021-07-26T17:00:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-47,1384,3,50
302,97,15,0,True,2021-08-02T17:00:00Z,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-71,1313,0,71
302,106,7,0,False,2021-08-08T13:00:00Z,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-20,1293,0,20
302,115,3,0,False,2021-08-16T17:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-18,1275,0,18
302,121,6,0,True,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-15,1260,0,15
