element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
307,7,16,8,True,2021-04-12T17:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,8,6,75,0,2434,0,0
307,15,4,1,False,2021-04-19T17:00:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,3,5,75,26,2684,105,79
307,18,2,7,True,2021-04-25T15:30:00Z,2,0,3,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,6,75,-251,2475,22,273
307,26,5,6,True,2021-05-02T15:30:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,4,75,-55,2444,38,93
307,40,9,0,False,2021-05-10T16:30:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,-131,2334,20,151
307,46,1,2,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5,4,74,-174,2170,4,178
307,56,11,2,False,2021-05-17T16:30:00Z,1,2,7,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,3,74,-147,2030,12,159
307,57,14,3,True,2021-05-22T13:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,2,0,1,3,1,3,4,74,-20,2017,47,67
307,65,6,0,False,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,-81,1946,19,100
307,73,13,3,True,2021-07-10T15:30:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,10,73,-81,1868,14,95
307,81,10,6,True,2021-07-18T15:30:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,3,73,-32,1842,19,51
307,95,8,2,False,2021-07-26T17:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,5,73,-6,1839,38,44
307,97,15,7,True,2021-08-02T17:00:00Z,1,0,13,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,3,73,1,1842,33,32
307,106,7,3,False,2021-08-08T13:00:00Z,1,4,14,83,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,4,73,-52,1793,4,56
307,115,3,5,False,2021-08-16T17:00:00Z,0,1,15,90,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,5,3,73,42,1838,70,28
307,121,6,3,True,2021-08-22T15:30:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,6,73,-11,1834,21,32
