element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
312,7,16,0,True,2021-04-12T17:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,260,0,0
312,15,4,1,False,2021-04-19T17:00:00Z,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,55,-27,258,4,31
312,18,2,1,True,2021-04-25T15:30:00Z,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-24,241,1,25
312,26,5,1,True,2021-05-02T15:30:00Z,1,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,54,-24,219,0,24
312,40,9,2,False,2021-05-10T16:30:00Z,2,0,5,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,54,-8,211,0,8
312,46,1,0,True,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-7,205,2,9
312,56,11,3,False,2021-05-17T16:30:00Z,1,2,7,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,53,-5,200,2,7
312,57,14,0,True,2021-05-22T13:00:00Z,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-6,195,3,9
312,65,6,0,False,2021-07-04T13:00:00Z,2,1,9,57,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,52,-10,185,1,11
312,73,13,1,True,2021-07-10T15:30:00Z,2,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,186,2,2
312,81,10,0,True,2021-07-18T15:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-5,182,0,5
312,95,8,0,False,2021-07-26T17:00:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-1,181,1,2
312,97,15,0,True,2021-08-02T17:00:00Z,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,183,3,2
312,106,7,0,False,2021-08-08T13:00:00Z,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-3,181,0,3
312,115,3,0,False,2021-08-16T17:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-3,178,0,3
312,121,6,1,True,2021-08-22T15:30:00Z,2,1,16,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,52,-1,177,0,1
