element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
314,7,16,1,True,2021-04-12T17:00:00Z,2,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,0,84,0,0
314,15,4,1,False,2021-04-19T17:00:00Z,2,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,-6,84,1,7
314,18,2,0,True,2021-04-25T15:30:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-5,82,1,6
314,26,5,1,True,2021-05-02T15:30:00Z,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-10,72,0,10
314,40,9,0,False,2021-05-10T16:30:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-4,68,1,5
314,46,1,0,True,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-4,65,0,4
314,56,11,8,False,2021-05-17T16:30:00Z,1,2,7,62,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,-3,62,0,3
314,57,14,2,True,2021-05-22T13:00:00Z,2,2,8,64,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,53,9,71,10,1
314,65,6,1,False,2021-07-04T13:00:00Z,2,1,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,53,-2,70,2,4
314,73,13,0,True,2021-07-10T15:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,71,1,0
314,81,10,0,True,2021-07-18T15:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,72,1,1
314,95,8,0,False,2021-07-26T17:00:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,72,1,1
314,97,15,0,True,2021-08-02T17:00:00Z,1,0,13,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,53,-4,68,0,4
314,106,7,0,False,2021-08-08T13:00:00Z,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-2,66,0,2
314,115,3,4,False,2021-08-16T17:00:00Z,0,1,15,76,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,6,53,0,66,0,0
314,121,6,1,True,2021-08-22T15:30:00Z,2,1,16,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,67,0,0
