element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
321,7,16,3,True,2021-04-12T17:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,6,75,0,4600,0,0
321,15,4,2,False,2021-04-19T17:00:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,75,436,5505,576,140
321,18,2,7,True,2021-04-25T15:30:00Z,2,0,3,90,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,75,-135,5481,352,487
321,26,5,6,True,2021-05-02T15:30:00Z,1,0,4,90,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,6,75,312,5884,485,173
321,40,9,2,False,2021-05-10T16:30:00Z,2,0,5,90,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,5,75,31,5984,291,260
321,46,1,6,True,2021-05-13T16:30:00Z,1,1,6,90,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,6,76,-269,5741,135,404
321,56,11,2,False,2021-05-17T16:30:00Z,1,2,7,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,76,146,5915,387,241
321,57,14,12,True,2021-05-22T13:00:00Z,2,2,8,90,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,76,-96,5854,211,307
321,65,6,2,False,2021-07-04T13:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,77,1222,7132,1370,148
321,73,13,4,True,2021-07-10T15:30:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,1,1,1,4,0,1,6,78,592,7738,780,188
321,81,10,3,True,2021-07-18T15:30:00Z,2,0,11,88,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,7,78,67,7822,343,276
321,95,8,2,False,2021-07-26T17:00:00Z,1,1,12,69,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,78,-365,7471,162,527
321,97,15,8,True,2021-08-02T17:00:00Z,1,0,13,86,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,9,78,-481,7001,122,603
321,106,7,12,False,2021-08-08T13:00:00Z,1,4,14,79,1,1,0,1,0,0,0,0,0,0,1,1,1,2,1,3,7,77,-609,6405,99,708
321,115,3,3,False,2021-08-16T17:00:00Z,0,1,15,76,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,5,78,1195,7632,1267,72
321,121,6,2,True,2021-08-22T15:30:00Z,2,1,16,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,78,404,8065,637,233
