element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
322,6,14,6,False,2021-04-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,45,0,780,0,0
322,16,5,2,True,2021-04-19T17:00:00Z,1,3,2,90,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,2,7,45,123,1017,156,33
322,22,7,2,True,2021-04-25T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,9,45,40,1083,73,33
322,30,11,3,False,2021-05-02T13:00:00Z,1,2,4,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,10,45,10,1108,46,36
322,38,1,2,False,2021-05-09T15:30:00Z,3,2,5,90,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,1,8,45,0,1117,35,35
322,45,2,0,True,2021-05-12T16:30:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,9,1128,21,12
322,55,9,0,True,2021-05-17T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-25,1104,14,39
322,59,6,0,False,2021-05-23T15:30:00Z,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-17,1090,7,24
322,72,10,0,True,2021-07-04T13:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-26,1068,15,41
322,73,12,0,False,2021-07-10T15:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-28,1042,6,34
322,84,15,0,False,2021-07-19T17:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-20,1023,6,26
322,94,4,0,True,2021-07-26T17:00:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-22,1003,5,27
322,98,16,0,False,2021-07-31T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-22,981,5,27
322,111,3,0,True,2021-08-09T17:00:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-17,964,0,17
322,119,8,0,True,2021-08-16T17:00:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-17,947,2,19
322,125,4,0,False,2021-08-23T17:00:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-35,914,3,38
