element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
324,6,14,0,False,2021-04-11T13:00:00Z,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2510,0,0
324,16,5,0,True,2021-04-19T17:00:00Z,1.0,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-218,2309,3,221
324,22,7,0,True,2021-04-25T13:00:00Z,1.0,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-166,2146,1,167
324,30,11,0,False,2021-05-02T13:00:00Z,1.0,2.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-89,2059,0,89
324,38,1,0,False,2021-05-09T15:30:00Z,3.0,2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-88,1972,1,89
324,45,2,0,True,2021-05-12T16:30:00Z,1.0,3.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-66,1908,0,66
324,55,9,0,True,2021-05-17T16:30:00Z,2.0,1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-67,1841,0,67
324,59,6,0,False,2021-05-23T15:30:00Z,3.0,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-50,1791,0,50
324,72,10,3,True,2021-07-04T13:00:00Z,1.0,1.0,9,90,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,7,43,-41,1750,2,43
324,73,12,4,False,2021-07-10T15:30:00Z,2.0,1.0,10,90,0,0,0,2,0,0,0,0,5,0,0,2,0,0,0,0,20,43,-15,1737,10,25
324,84,15,3,False,2021-07-19T17:00:00Z,1.0,1.0,11,90,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6,43,15,1755,27,12
324,94,4,8,True,2021-07-26T17:00:00Z,2.0,0.0,12,90,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,1,8,43,2,1760,35,33
324,98,16,4,False,2021-07-31T15:30:00Z,1.0,1.0,13,90,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,2,9,43,43,1804,66,23
324,111,3,7,True,2021-08-09T17:00:00Z,0.0,0.0,14,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,7,43,95,1903,113,18
324,119,8,7,True,2021-08-16T17:00:00Z,1.0,0.0,15,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,7,43,101,2013,121,20
324,125,4,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,176,2199,212,36
