element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
326,6,14,8,False,2021-04-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,2,0,3,3,0,0,5,45,0,2848,0,0
326,16,5,2,True,2021-04-19T17:00:00Z,1,3,2,90,0,0,0,3,0,0,0,0,0,0,1,0,3,1,0,2,5,45,146,3207,226,80
326,22,7,3,True,2021-04-25T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,1,1,3,2,0,4,9,45,-111,3125,52,163
326,30,11,2,False,2021-05-02T13:00:00Z,1,2,4,90,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,45,-113,3021,59,172
326,38,1,1,False,2021-05-09T15:30:00Z,3,2,5,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,45,-188,2837,9,197
326,45,2,2,True,2021-05-12T16:30:00Z,1,3,6,83,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,7,2,45,-137,2700,2,139
326,55,9,3,True,2021-05-17T16:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,8,45,-187,2514,4,191
326,59,6,1,False,2021-05-23T15:30:00Z,3,1,8,90,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,2,5,44,-34,2481,19,53
326,72,10,0,True,2021-07-04T13:00:00Z,1,1,9,23,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,44,117,2600,232,115
326,73,12,3,False,2021-07-10T15:30:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6,7,44,-85,2515,11,96
326,84,15,1,False,2021-07-19T17:00:00Z,1,1,11,27,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,44,-86,2429,15,101
326,94,4,1,True,2021-07-26T17:00:00Z,2,0,12,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,44,-58,2372,10,68
326,98,16,1,False,2021-07-31T15:30:00Z,1,1,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,-91,2281,7,98
326,111,3,1,True,2021-08-09T17:00:00Z,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,43,-58,2224,11,69
326,119,8,1,True,2021-08-16T17:00:00Z,1,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,-77,2147,9,86
326,125,4,3,False,2021-08-23T17:00:00Z,1,2,16,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,6,43,-80,2067,6,86
