element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
328,6,14,0,False,2021-04-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,72,0,0
328,16,5,1,True,2021-04-19T17:00:00Z,1,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-9,69,1,10
328,22,7,6,True,2021-04-25T13:00:00Z,1,3,3,72,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,2,45,-3,67,0,3
328,30,11,7,False,2021-05-02T13:00:00Z,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,77,5,1
328,38,1,7,False,2021-05-09T15:30:00Z,3,2,5,90,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,5,1,45,9,90,10,1
328,45,2,0,True,2021-05-12T16:30:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,102,198,106,4
328,55,9,1,True,2021-05-17T16:30:00Z,2,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,21,228,36,15
328,59,6,2,False,2021-05-23T15:30:00Z,3,1,8,75,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,11,2,45,3,233,19,16
328,72,10,3,True,2021-07-04T13:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,46,-2,235,13,15
328,73,12,2,False,2021-07-10T15:30:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,9,1,46,10,247,15,5
328,84,15,2,False,2021-07-19T17:00:00Z,1,1,11,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,8,2,46,0,248,8,8
328,94,4,7,True,2021-07-26T17:00:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,8,46,11,259,21,10
328,98,16,3,False,2021-07-31T15:30:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,3,46,35,294,42,7
328,111,3,7,True,2021-08-09T17:00:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,3,46,23,317,34,11
328,119,8,8,True,2021-08-16T17:00:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,6,46,52,372,59,7
328,125,4,3,False,2021-08-23T17:00:00Z,1,2,16,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,2,46,72,448,91,19
