element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
329,6,14,7,False,2021-04-11T13:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,8,50,0,1829,0,0
329,16,5,5,True,2021-04-19T17:00:00Z,1.0,3.0,2,90,0,1,0,3,0,0,0,0,0,0,1,0,2,2,1,2,5,50,-1,1930,47,48
329,22,7,1,True,2021-04-25T13:00:00Z,1.0,3.0,3,17,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,50,-37,1928,46,83
329,30,11,3,False,2021-05-02T13:00:00Z,1.0,2.0,4,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,10,50,-128,1817,14,142
329,38,1,2,False,2021-05-09T15:30:00Z,3.0,2.0,5,90,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,2,9,50,-120,1704,9,129
329,45,2,6,True,2021-05-12T16:30:00Z,1.0,3.0,6,65,0,0,1,0,0,0,1,0,0,0,0,1,2,2,0,2,7,50,-43,1664,13,56
329,55,9,6,True,2021-05-17T16:30:00Z,2.0,1.0,7,90,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,5,10,50,-52,1616,15,67
329,59,6,0,False,2021-05-23T15:30:00Z,3.0,1.0,8,58,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,4,49,62,1687,81,19
329,72,10,3,True,2021-07-04T13:00:00Z,1.0,1.0,9,90,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,7,12,49,49,1743,112,63
329,73,12,2,False,2021-07-10T15:30:00Z,2.0,1.0,10,52,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,7,49,0,1747,40,40
329,84,15,0,False,2021-07-19T17:00:00Z,1.0,1.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-33,1716,18,51
329,94,4,1,True,2021-07-26T17:00:00Z,2.0,0.0,12,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,49,-49,1669,12,61
329,98,16,1,False,2021-07-31T15:30:00Z,1.0,1.0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,49,-66,1604,9,75
329,111,3,0,True,2021-08-09T17:00:00Z,0.0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-53,1554,4,57
329,119,8,0,True,2021-08-16T17:00:00Z,1.0,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-55,1502,5,60
329,125,4,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-77,1426,2,79
