element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
335,6,14,8,False,2021-04-11T13:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,10,45,0,383,0,0
335,16,5,3,True,2021-04-19T17:00:00Z,1.0,3.0,2,90,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,7,10,45,110,621,126,16
335,22,7,1,True,2021-04-25T13:00:00Z,1.0,3.0,3,72,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,3,45,25,677,61,36
335,30,11,8,False,2021-05-02T13:00:00Z,1.0,2.0,4,90,0,1,0,1,0,0,0,0,0,0,2,1,8,6,1,2,8,45,-21,663,20,41
335,38,1,4,False,2021-05-09T15:30:00Z,3.0,2.0,5,26,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,45,116,798,158,42
335,45,2,5,True,2021-05-12T16:30:00Z,1.0,3.0,6,90,0,1,0,3,0,0,1,0,0,0,1,1,2,2,1,3,7,45,130,939,155,25
335,55,9,4,True,2021-05-17T16:30:00Z,2.0,1.0,7,84,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,3,8,45,187,1138,227,40
335,59,6,3,False,2021-05-23T15:30:00Z,3.0,1.0,8,90,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,6,12,46,403,1558,431,28
335,72,10,0,True,2021-07-04T13:00:00Z,1.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,1574,229,227
335,73,12,0,False,2021-07-10T15:30:00Z,2.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-84,1492,54,138
335,84,15,3,False,2021-07-19T17:00:00Z,1.0,1.0,11,90,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,4,6,46,-12,1483,56,68
335,94,4,8,True,2021-07-26T17:00:00Z,2.0,0.0,12,90,0,0,1,0,0,0,1,0,0,0,1,2,3,2,0,6,7,46,122,1609,163,41
335,98,16,4,False,2021-07-31T15:30:00Z,1.0,1.0,13,90,0,0,0,1,0,0,0,0,0,0,1,1,2,2,1,7,4,46,680,2301,721,41
335,111,3,8,True,2021-08-09T17:00:00Z,0.0,0.0,14,90,0,0,1,0,0,0,0,0,0,0,2,0,2,3,1,2,4,47,477,2786,545,68
335,119,8,12,True,2021-08-16T17:00:00Z,1.0,0.0,15,90,0,1,1,0,0,0,0,0,0,0,1,2,2,2,1,8,12,47,495,3290,536,41
335,125,4,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,845,4161,940,95
