element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
336,6,14,3,False,2021-04-11T13:00:00Z,0.0,0.0,1,70,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,4,55,0,293,0,0
336,16,5,0,True,2021-04-19T17:00:00Z,1.0,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-18,291,9,27
336,22,7,0,True,2021-04-25T13:00:00Z,1.0,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-59,233,1,60
336,30,11,4,False,2021-05-02T13:00:00Z,1.0,2.0,4,24,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,54,-26,207,3,29
336,38,1,1,False,2021-05-09T15:30:00Z,3.0,2.0,5,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,54,-10,197,2,12
336,45,2,8,True,2021-05-12T16:30:00Z,1.0,3.0,6,90,1,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,9,54,-2,195,3,5
336,55,9,6,True,2021-05-17T16:30:00Z,2.0,1.0,7,61,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,54,21,216,24,3
336,59,6,0,False,2021-05-23T15:30:00Z,3.0,1.0,8,45,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,54,21,241,25,4
336,72,10,0,True,2021-07-04T13:00:00Z,1.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-55,188,9,64
336,73,12,0,False,2021-07-10T15:30:00Z,2.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-48,140,0,48
336,84,15,0,False,2021-07-19T17:00:00Z,1.0,1.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-18,122,0,18
336,94,4,0,True,2021-07-26T17:00:00Z,2.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-9,113,0,9
336,98,16,0,False,2021-07-31T15:30:00Z,1.0,1.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-7,106,0,7
336,111,3,0,True,2021-08-09T17:00:00Z,0.0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-2,104,0,2
336,119,8,0,True,2021-08-16T17:00:00Z,1.0,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-7,97,0,7
336,125,4,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-1,96,0,1
