element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
350,6,13,8,True,2021-04-11T13:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,15,50,0,1793,0,0
350,9,2,2,False,2021-04-17T13:00:00Z,2.0,0.0,2,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,9,50,20,1969,69,49
350,23,5,0,False,2021-04-26T16:30:00Z,1.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-15,1998,54,69
350,32,16,0,True,2021-05-03T16:30:00Z,1.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-135,1871,12,147
350,39,11,0,True,2021-05-09T13:00:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-182,1692,3,185
350,47,15,0,False,2021-05-13T15:00:00Z,1.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-108,1585,1,109
350,54,6,0,True,2021-05-17T16:30:00Z,1.0,1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-97,1489,2,99
350,57,12,0,False,2021-05-22T13:00:00Z,2.0,2.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-69,1420,1,70
350,71,3,0,False,2021-07-04T15:30:00Z,2.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-56,1367,1,57
350,79,9,0,True,2021-07-11T13:00:00Z,0.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-31,1336,1,32
350,86,4,0,False,2021-07-18T16:00:00Z,3.0,2.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-28,1309,1,29
350,93,1,0,True,2021-07-24T13:00:00Z,0.0,2.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-32,1277,2,34
350,102,10,6,False,2021-08-01T15:30:00Z,1.0,0.0,13,90,0,0,0,1,0,0,0,0,7,0,0,2,0,0,0,1,13,48,-20,1258,0,20
350,112,8,2,False,2021-08-07T15:30:00Z,2.0,2.0,14,90,0,0,0,2,0,0,1,0,5,0,0,1,0,0,0,1,6,48,-8,1250,2,10
350,118,7,4,True,2021-08-15T13:00:00Z,0.0,1.0,15,90,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,17,48,-17,1234,5,22
350,122,7,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,1240,11,8
