element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
351,6,13,0,True,2021-04-11T13:00:00Z,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,890,0,0
351,9,2,0,False,2021-04-17T13:00:00Z,2.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-149,771,3,152
351,23,5,5,False,2021-04-26T16:30:00Z,1.0,0.0,3,90,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,2,13,49,-78,696,3,81
351,32,16,7,True,2021-05-03T16:30:00Z,1.0,0.0,4,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,6,49,-23,678,10,33
351,39,11,8,True,2021-05-09T13:00:00Z,1.0,0.0,5,90,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,10,49,17,699,37,20
351,47,15,3,False,2021-05-13T15:00:00Z,1.0,1.0,6,90,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,7,49,38,739,43,5
351,54,6,5,True,2021-05-17T16:30:00Z,1.0,1.0,7,90,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,9,49,24,768,44,20
351,57,12,3,False,2021-05-22T13:00:00Z,2.0,2.0,8,90,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,2,6,49,43,828,51,8
351,71,3,3,False,2021-07-04T15:30:00Z,2.0,1.0,9,90,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,10,50,29,868,59,30
351,79,9,5,True,2021-07-11T13:00:00Z,0.0,1.0,10,90,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,0,15,50,5,877,19,14
351,86,4,2,False,2021-07-18T16:00:00Z,3.0,2.0,11,90,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,10,50,1,881,20,19
351,93,1,3,True,2021-07-24T13:00:00Z,0.0,2.0,12,90,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,9,50,12,898,29,17
351,102,10,0,False,2021-08-01T15:30:00Z,1.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-2,899,17,19
351,112,8,0,False,2021-08-07T15:30:00Z,2.0,2.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-36,866,4,40
351,118,7,0,True,2021-08-15T13:00:00Z,0.0,1.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-37,835,8,45
351,122,7,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-41,797,4,45
