element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
354,6,13,8,True,2021-04-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,15,3,50,0,1220,0,0
354,9,2,1,False,2021-04-17T13:00:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,2,50,17,1342,57,40
354,23,5,4,False,2021-04-26T16:30:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,8,50,-82,1274,11,93
354,32,16,6,True,2021-05-03T16:30:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,50,-38,1237,10,48
354,39,11,5,True,2021-05-09T13:00:00Z,1,0,5,90,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,3,50,-43,1196,8,51
354,47,15,2,False,2021-05-13T15:00:00Z,1,1,6,85,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,9,1,50,-13,1185,3,16
354,54,6,3,True,2021-05-17T16:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,5,50,-58,1128,0,58
354,57,12,2,False,2021-05-22T13:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,10,4,50,-21,1108,1,22
354,71,3,2,False,2021-07-04T15:30:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,5,3,49,-16,1095,16,32
354,79,9,0,True,2021-07-11T13:00:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-65,1031,1,66
354,86,4,3,False,2021-07-18T16:00:00Z,3,2,11,90,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,6,7,49,-33,999,3,36
354,93,1,3,True,2021-07-24T13:00:00Z,0,2,12,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,14,2,49,-20,979,9,29
354,102,10,3,False,2021-08-01T15:30:00Z,1,0,13,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,4,49,-4,976,13,17
354,112,8,2,False,2021-08-07T15:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,1,49,-15,961,5,20
354,118,7,3,True,2021-08-15T13:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,8,49,-26,935,2,28
354,122,7,7,False,2021-08-23T17:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,4,49,-24,913,1,25
