element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
357,6,13,6,True,2021-04-11T13:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,4,55,0,2543,0,0
357,9,2,2,False,2021-04-17T13:00:00Z,2.0,0.0,2,90,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,5,9,55,-89,2500,22,111
357,23,5,3,False,2021-04-26T16:30:00Z,1.0,0.0,3,83,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,55,-293,2212,34,327
357,32,16,11,True,2021-05-03T16:30:00Z,1.0,0.0,4,90,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,6,54,-109,2105,35,144
357,39,11,6,True,2021-05-09T13:00:00Z,1.0,0.0,5,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,54,64,2184,165,101
357,47,15,5,False,2021-05-13T15:00:00Z,1.0,1.0,6,90,0,0,0,1,0,0,0,0,0,0,2,1,3,3,0,0,6,54,18,2212,67,49
357,54,6,9,True,2021-05-17T16:30:00Z,1.0,1.0,7,90,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,9,54,-289,1930,79,368
357,57,12,5,False,2021-05-22T13:00:00Z,2.0,2.0,8,90,0,1,0,2,0,0,1,0,0,0,1,1,2,1,1,5,7,54,652,2632,702,50
357,71,3,2,False,2021-07-04T15:30:00Z,2.0,1.0,9,90,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,7,56,1030,3724,1169,139
357,79,9,2,True,2021-07-11T13:00:00Z,0.0,1.0,10,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,56,266,4010,371,105
357,86,4,2,False,2021-07-18T16:00:00Z,3.0,2.0,11,65,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,9,56,-123,3895,92,215
357,93,1,2,True,2021-07-24T13:00:00Z,0.0,2.0,12,90,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,2,7,56,-36,3873,184,220
357,102,10,3,False,2021-08-01T15:30:00Z,1.0,0.0,13,90,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,3,7,56,145,4033,275,130
357,112,8,7,False,2021-08-07T15:30:00Z,2.0,2.0,14,79,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,56,-163,3874,54,217
357,118,7,2,True,2021-08-15T13:00:00Z,0.0,1.0,15,90,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,56,41,3923,156,115
357,122,7,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-207,3719,51,258
