element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
358,6,13,0,True,2021-04-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,74,0,0
358,9,2,0,False,2021-04-17T13:00:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-3,74,2,5
358,23,5,0,False,2021-04-26T16:30:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-7,68,0,7
358,32,16,0,True,2021-05-03T16:30:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-3,65,0,3
358,39,11,0,True,2021-05-09T13:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-3,62,1,4
358,47,15,1,False,2021-05-13T15:00:00Z,1,1,6,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,44,-5,57,0,5
358,54,6,0,True,2021-05-17T16:30:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-2,55,0,2
358,57,12,0,False,2021-05-22T13:00:00Z,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-2,53,0,2
358,71,3,0,False,2021-07-04T15:30:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,54,0,0
358,79,9,0,True,2021-07-11T13:00:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-1,53,0,1
358,86,4,1,False,2021-07-18T16:00:00Z,3,2,11,24,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,43,0,53,0,0
358,93,1,1,True,2021-07-24T13:00:00Z,0,2,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,-1,52,1,2
358,102,10,0,False,2021-08-01T15:30:00Z,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,55,3,0
358,112,8,0,False,2021-08-07T15:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,55,0,0
358,118,7,0,True,2021-08-15T13:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,55,0,0
358,122,7,0,False,2021-08-23T17:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,55,0,0
