element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
362,6,13,1,True,2021-04-11T13:00:00Z,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,65,0,2873,0,0
362,9,2,4,False,2021-04-17T13:00:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,2,0,4,4,1,0,1,65,-274,2662,13,287
362,23,5,2,False,2021-04-26T16:30:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,65,-185,2486,41,226
362,32,16,6,True,2021-05-03T16:30:00Z,1,0,4,89,0,0,1,0,0,0,0,0,0,0,2,1,6,4,0,0,9,65,-59,2430,119,178
362,39,11,3,True,2021-05-09T13:00:00Z,1,0,5,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,64,-104,2329,75,179
362,47,15,2,False,2021-05-13T15:00:00Z,1,1,6,90,0,0,0,1,0,1,0,0,0,0,2,0,5,6,0,1,4,64,-119,2212,13,132
362,54,6,4,True,2021-05-17T16:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,2,0,4,3,0,0,4,64,-189,2024,19,208
362,57,12,3,False,2021-05-22T13:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,1,0,3,2,0,3,4,63,-112,1913,6,118
362,71,3,2,False,2021-07-04T15:30:00Z,2,1,9,76,0,0,0,1,0,0,1,0,0,0,1,0,2,3,0,0,0,62,-109,1810,17,126
362,79,9,2,True,2021-07-11T13:00:00Z,0,1,10,90,0,0,0,1,0,0,1,0,0,0,1,0,3,2,0,0,0,62,-73,1738,10,83
362,86,4,2,False,2021-07-18T16:00:00Z,3,2,11,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,4,62,-74,1666,6,80
362,93,1,1,True,2021-07-24T13:00:00Z,0,2,12,90,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,4,62,-76,1591,3,79
362,102,10,0,False,2021-08-01T15:30:00Z,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-135,1457,4,139
362,112,8,2,False,2021-08-07T15:30:00Z,2,2,14,68,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,61,-48,1409,3,51
362,118,7,2,True,2021-08-15T13:00:00Z,0,1,15,70,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,3,61,-49,1360,0,49
362,122,7,0,False,2021-08-23T17:00:00Z,0,0,16,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,61,-33,1327,2,35
