element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
364,6,13,3,True,2021-04-11T13:00:00Z,0.0,0.0,1,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,0,1453,0,0
364,9,2,2,False,2021-04-17T13:00:00Z,2.0,0.0,2,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,5,45,-53,1424,8,61
364,23,5,1,False,2021-04-26T16:30:00Z,1.0,0.0,3,83,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,3,4,45,-69,1359,14,83
364,32,16,5,True,2021-05-03T16:30:00Z,1.0,0.0,4,90,0,0,1,0,0,0,0,0,0,0,2,0,0,3,1,0,4,45,-73,1287,4,77
364,39,11,4,True,2021-05-09T13:00:00Z,1.0,0.0,5,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,45,-25,1267,42,67
364,47,15,1,False,2021-05-13T15:00:00Z,1.0,1.0,6,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,45,-20,1248,20,40
364,54,6,2,True,2021-05-17T16:30:00Z,1.0,1.0,7,72,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,45,-47,1204,7,54
364,57,12,1,False,2021-05-22T13:00:00Z,2.0,2.0,8,90,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,44,79,1294,132,53
364,71,3,3,False,2021-07-04T15:30:00Z,2.0,1.0,9,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,6,44,-44,1256,37,81
364,79,9,1,True,2021-07-11T13:00:00Z,0.0,1.0,10,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,44,-27,1230,5,32
364,86,4,2,False,2021-07-18T16:00:00Z,3.0,2.0,11,81,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,44,-29,1202,9,38
364,93,1,1,True,2021-07-24T13:00:00Z,0.0,2.0,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,44,-21,1184,15,36
364,102,10,1,False,2021-08-01T15:30:00Z,1.0,0.0,13,90,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,4,44,-46,1138,13,59
364,112,8,0,False,2021-08-07T15:30:00Z,2.0,2.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-64,1074,0,64
364,118,7,0,True,2021-08-15T13:00:00Z,0.0,1.0,15,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,44,-52,1022,1,53
364,122,7,0,False,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-32,992,2,34
