element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
369,6,13,2,True,2021-04-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,65,0,2787,0,0
369,9,2,2,False,2021-04-17T13:00:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,65,-78,2790,66,144
369,23,5,3,False,2021-04-26T16:30:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,6,65,-234,2578,104,338
369,32,16,8,True,2021-05-03T16:30:00Z,1,0,4,90,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,6,65,-159,2424,103,262
369,39,11,8,True,2021-05-09T13:00:00Z,1,0,5,90,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,3,3,65,10,2445,147,137
369,47,15,7,False,2021-05-13T15:00:00Z,1,1,6,90,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,2,65,201,2663,270,69
369,54,6,3,True,2021-05-17T16:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,6,65,198,2873,331,133
369,57,12,3,False,2021-05-22T13:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,4,2,65,-144,2738,92,236
369,71,3,5,False,2021-07-04T15:30:00Z,2,1,9,90,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,64,32,2775,155,123
369,79,9,2,True,2021-07-11T13:00:00Z,0,1,10,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,64,-56,2722,59,115
369,86,4,2,False,2021-07-18T16:00:00Z,3,2,11,90,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,1,64,-97,2627,43,140
369,93,1,0,True,2021-07-24T13:00:00Z,0,2,12,90,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,3,63,-175,2453,26,201
369,102,10,2,False,2021-08-01T15:30:00Z,1,0,13,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,63,-115,2341,22,137
369,112,8,5,False,2021-08-07T15:30:00Z,2,2,14,90,0,1,0,2,0,0,1,0,0,0,1,0,1,1,1,0,3,63,-144,2198,5,149
369,118,7,2,True,2021-08-15T13:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,62,-141,2058,13,154
369,122,7,1,False,2021-08-23T17:00:00Z,0,0,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,62,-99,1959,11,110
