element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
36,1,1,3,False,2021-04-10T13:00:00Z,3,2,1,90,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,10,10,50,0,420,0,0
36,9,14,0,True,2021-04-17T13:00:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,69,602,89,20
36,18,12,0,False,2021-04-25T15:30:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-79,534,2,81
36,28,6,1,True,2021-05-01T15:30:00Z,1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,50,-61,475,0,61
36,33,3,0,True,2021-05-08T13:00:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-41,435,4,45
36,45,13,3,False,2021-05-12T16:30:00Z,1,3,6,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,49,-22,413,1,23
36,50,7,0,True,2021-05-16T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-15,399,0,15
36,62,10,0,False,2021-05-23T13:00:00Z,2,1,8,29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,48,-15,384,1,16
36,68,15,0,True,2021-07-04T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-7,377,1,8
36,75,16,0,True,2021-07-11T13:00:00Z,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-19,358,0,19
36,88,8,0,False,2021-07-18T13:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-11,347,0,11
36,90,9,0,True,2021-07-25T15:30:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-7,340,0,7
36,104,11,0,False,2021-08-01T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-6,334,0,6
36,109,4,0,False,2021-08-08T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-3,331,0,3
36,114,5,0,True,2021-08-15T15:30:00Z,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-3,328,0,3
36,124,5,0,False,2021-08-22T13:00:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-2,326,0,2
