element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
371,6,13,0,True,2021-04-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1959,0,0
371,9,2,1,False,2021-04-17T13:00:00Z,2,0,2,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,45,-62,1921,27,89
371,23,5,1,False,2021-04-26T16:30:00Z,1,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,-95,1830,95,190
371,32,16,1,True,2021-05-03T16:30:00Z,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-149,1686,51,200
371,39,11,0,True,2021-05-09T13:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-60,1631,90,150
371,47,15,0,False,2021-05-13T15:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-69,1565,46,115
371,54,6,0,True,2021-05-17T16:30:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-92,1474,36,128
371,57,12,0,False,2021-05-22T13:00:00Z,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-118,1356,8,126
371,71,3,0,False,2021-07-04T15:30:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,-209,1147,10,219
371,79,9,0,True,2021-07-11T13:00:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,-115,1032,1,116
371,86,4,0,False,2021-07-18T16:00:00Z,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-69,963,2,71
371,93,1,0,True,2021-07-24T13:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-94,869,0,94
371,102,10,0,False,2021-08-01T15:30:00Z,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-72,797,1,73
371,112,8,0,False,2021-08-07T15:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-33,764,2,35
371,118,7,0,True,2021-08-15T13:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-39,725,1,40
371,122,7,0,False,2021-08-23T17:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-31,694,1,32
