element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
374,3,6,7,True,2021-04-11T13:00:00Z,1,0,1,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,6,45,0,4605,0,0
374,13,3,3,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,8,45,721,5686,784,63
374,19,9,4,False,2021-04-25T13:00:00Z,2,1,3,90,0,0,0,2,0,0,0,0,5,0,0,2,0,0,0,1,14,46,279,6035,381,102
374,27,4,7,True,2021-05-02T13:00:00Z,1,1,4,90,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,10,46,256,6337,331,75
374,36,8,5,False,2021-05-08T15:30:00Z,1,0,5,90,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0,12,46,497,6874,555,58
374,47,14,10,True,2021-05-13T15:00:00Z,1,1,6,90,0,0,0,1,1,0,0,0,5,0,0,2,0,0,0,1,15,46,273,7174,306,33
374,51,5,3,False,2021-05-17T16:30:00Z,2,3,7,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,17,47,311,7506,357,46
374,61,16,7,True,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,47,427,7979,453,26
374,68,2,5,False,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,2,16,48,356,8401,549,193
374,74,7,8,True,2021-07-12T17:00:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,12,48,217,8641,317,100
374,84,13,3,True,2021-07-19T17:00:00Z,1,1,11,90,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,3,13,49,474,9150,513,39
374,96,11,8,False,2021-07-26T17:00:00Z,0,1,12,90,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,8,49,470,9656,550,80
374,97,12,2,False,2021-08-02T17:00:00Z,1,0,13,90,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,5,50,268,9956,352,84
374,107,1,8,True,2021-08-07T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,2,9,50,122,10095,255,133
374,116,10,4,False,2021-08-14T15:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,12,50,477,10606,525,48
374,123,9,4,True,2021-08-22T13:00:00Z,2,1,16,90,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,10,51,329,10964,468,139
