element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
379,3,6,7,True,2021-04-11T13:00:00Z,1,0,1,70,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,6,45,0,67,0,0
379,13,3,3,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,6,45,137,247,159,22
379,19,9,3,False,2021-04-25T13:00:00Z,2,1,3,88,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,8,10,45,84,341,104,20
379,27,4,4,True,2021-05-02T13:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,1,1,2,3,0,4,8,45,53,400,80,27
379,36,8,1,False,2021-05-08T15:30:00Z,1,0,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,45,324,730,366,42
379,47,14,2,True,2021-05-13T15:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,45,11,745,49,38
379,51,5,2,False,2021-05-17T16:30:00Z,2,3,7,90,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,4,6,45,-96,651,18,114
379,61,16,7,True,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,7,45,6,660,22,16
379,68,2,3,False,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,9,6,46,22,683,76,54
379,74,7,7,True,2021-07-12T17:00:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6,46,65,750,96,31
379,84,13,3,True,2021-07-19T17:00:00Z,1,1,11,82,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,7,46,390,1147,417,27
379,96,11,9,False,2021-07-26T17:00:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,2,1,3,4,0,1,8,47,381,1538,418,37
379,97,12,3,False,2021-08-02T17:00:00Z,1,0,13,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,11,47,424,1976,472,48
379,107,1,7,True,2021-08-07T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,4,9,48,152,2132,229,77
379,116,10,1,False,2021-08-14T15:30:00Z,1,1,15,30,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,49,616,2759,671,55
379,123,9,6,True,2021-08-22T13:00:00Z,2,1,16,90,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,5,4,49,16,2786,240,224
