element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
384,3,6,1,True,2021-04-11T13:00:00Z,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,0,266,0,0
384,13,3,0,False,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-14,259,3,17
384,19,9,1,False,2021-04-25T13:00:00Z,2,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,-48,212,1,49
384,27,4,3,True,2021-05-02T13:00:00Z,1,1,4,74,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,6,54,-33,180,0,33
384,36,8,2,False,2021-05-08T15:30:00Z,1,0,5,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,53,-8,172,5,13
384,47,14,3,True,2021-05-13T15:00:00Z,1,1,6,86,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,2,53,-9,163,2,11
384,51,5,4,False,2021-05-17T16:30:00Z,2,3,7,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,53,-13,150,0,13
384,61,16,1,True,2021-05-23T13:00:00Z,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,-3,148,0,3
384,68,2,1,False,2021-07-04T15:30:00Z,1,1,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,-10,138,1,11
384,74,7,1,True,2021-07-12T17:00:00Z,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,-5,133,0,5
384,84,13,1,True,2021-07-19T17:00:00Z,1,1,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-1,133,1,2
384,96,11,1,False,2021-07-26T17:00:00Z,0,1,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-8,125,0,8
384,97,12,1,False,2021-08-02T17:00:00Z,1,0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,-6,119,0,6
384,107,1,4,True,2021-08-07T15:30:00Z,0,0,14,89,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,51,-1,118,0,1
384,116,10,3,False,2021-08-14T15:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,9,51,-3,115,3,6
384,123,9,3,True,2021-08-22T13:00:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7,51,-1,115,1,2
