element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
385,3,6,0,True,2021-04-11T13:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,173,0,0
385,13,3,1,False,2021-04-18T15:30:00Z,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,-17,164,2,19
385,19,9,0,False,2021-04-25T13:00:00Z,2,1,3,28,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,44,-10,156,3,13
385,27,4,0,True,2021-05-02T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,6,163,23,17
385,36,8,1,False,2021-05-08T15:30:00Z,1,0,5,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,44,4,170,18,14
385,47,14,1,True,2021-05-13T15:00:00Z,1,1,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,44,7,178,13,6
385,51,5,5,False,2021-05-17T16:30:00Z,2,3,7,64,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,44,6,186,14,8
385,61,16,0,True,2021-05-23T13:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,188,5,5
385,68,2,0,False,2021-07-04T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-8,180,1,9
385,74,7,1,True,2021-07-12T17:00:00Z,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-9,171,0,9
385,84,13,2,True,2021-07-19T17:00:00Z,1,1,11,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,44,-5,166,0,5
385,96,11,1,False,2021-07-26T17:00:00Z,0,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,44,-6,160,1,7
385,97,12,1,False,2021-08-02T17:00:00Z,1,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,-4,156,0,4
385,107,1,1,True,2021-08-07T15:30:00Z,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,5,161,15,10
385,116,10,3,False,2021-08-14T15:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,6,43,20,183,28,8
385,123,9,0,True,2021-08-22T13:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,69,256,100,31
