element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
388,3,6,0,True,2021-04-11T13:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,138,0,0
388,13,3,0,False,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,-41,99,0,41
388,19,9,0,False,2021-04-25T13:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-22,77,0,22
388,27,4,0,True,2021-05-02T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-5,72,0,5
388,36,8,0,False,2021-05-08T15:30:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-6,66,0,6
388,47,14,0,True,2021-05-13T15:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-1,65,0,1
388,51,5,0,False,2021-05-17T16:30:00Z,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-2,63,0,2
388,61,16,0,True,2021-05-23T13:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-2,61,0,2
388,68,2,1,False,2021-07-04T15:30:00Z,1,1,9,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,64,6,3
388,74,7,3,True,2021-07-12T17:00:00Z,0,0,10,60,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,5,63,3,67,3,0
388,84,13,6,True,2021-07-19T17:00:00Z,1,1,11,90,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,63,12,79,12,0
388,96,11,3,False,2021-07-26T17:00:00Z,0,1,12,84,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,4,63,12,92,13,1
388,97,12,3,False,2021-08-02T17:00:00Z,1,0,13,75,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,2,6,63,0,93,2,2
388,107,1,4,True,2021-08-07T15:30:00Z,0,0,14,78,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,63,-1,92,1,2
388,116,10,5,False,2021-08-14T15:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,1,2,2,3,0,1,12,63,1,93,2,1
388,123,9,4,True,2021-08-22T13:00:00Z,2,1,16,77,0,0,0,1,0,0,0,0,0,0,2,0,2,4,1,3,4,63,0,98,8,8
