element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
393,3,6,6,True,2021-04-11T13:00:00Z,1,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,564,0,0
393,13,3,1,False,2021-04-18T15:30:00Z,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,575,1523,613,38
393,19,9,1,False,2021-04-25T13:00:00Z,2,1,3,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,55,-33,1568,207,240
393,27,4,2,True,2021-05-02T13:00:00Z,1,1,4,79,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,55,-222,1365,36,258
393,36,8,2,False,2021-05-08T15:30:00Z,1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,55,-48,1326,68,116
393,47,14,1,True,2021-05-13T15:00:00Z,1,1,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,55,-71,1263,30,101
393,51,5,1,False,2021-05-17T16:30:00Z,2,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-129,1137,8,137
393,61,16,0,True,2021-05-23T13:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-104,1034,5,109
393,68,2,1,False,2021-07-04T15:30:00Z,1,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-63,972,7,70
393,74,7,0,True,2021-07-12T17:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-51,921,3,54
393,84,13,1,True,2021-07-19T17:00:00Z,1,1,11,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,53,-33,889,3,36
393,96,11,1,False,2021-07-26T17:00:00Z,0,1,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,-29,860,4,33
393,97,12,1,False,2021-08-02T17:00:00Z,1,0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-21,839,6,27
393,107,1,2,True,2021-08-07T15:30:00Z,0,0,14,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,52,-10,829,0,10
393,116,10,7,False,2021-08-14T15:30:00Z,1,1,15,69,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,52,-19,811,0,19
393,123,9,2,True,2021-08-22T13:00:00Z,2,1,16,65,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,52,2,814,10,8
