element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
396,3,6,2,True,2021-04-11T13:00:00Z,1,0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,70,0,5198,0,0
396,13,3,3,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,7,70,64,5492,217,153
396,19,9,7,False,2021-04-25T13:00:00Z,2,1,3,90,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,70,-581,4959,130,711
396,27,4,7,True,2021-05-02T13:00:00Z,1,1,4,90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,70,-17,4985,240,257
396,36,8,2,False,2021-05-08T15:30:00Z,1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,70,935,5981,1073,138
396,47,14,7,True,2021-05-13T15:00:00Z,1,1,6,90,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,70,-142,5859,202,344
396,51,5,7,False,2021-05-17T16:30:00Z,2,3,7,87,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,70,-170,5698,202,372
396,61,16,2,True,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,3,70,149,5872,290,141
396,68,2,8,False,2021-07-04T15:30:00Z,1,1,9,90,1,0,0,1,0,0,0,0,0,0,1,0,0,4,0,1,2,71,-61,5833,144,205
396,74,7,3,True,2021-07-12T17:00:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,2,5,71,66,5915,218,152
396,84,13,3,True,2021-07-19T17:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,72,461,6394,567,106
396,96,11,2,False,2021-07-26T17:00:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,72,-93,6312,194,287
396,97,12,2,False,2021-08-02T17:00:00Z,1,0,13,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,72,-236,6082,73,309
396,107,1,2,True,2021-08-07T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,72,-385,5698,34,419
396,116,10,2,False,2021-08-14T15:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,71,-316,5389,42,358
396,123,9,3,True,2021-08-22T13:00:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,4,71,-358,5036,43,401
