element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
403,7,12,1,False,2021-04-12T17:00:00Z,2,0,1,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,5,50,0,599,0,0
403,11,10,4,True,2021-04-18T13:00:00Z,0,1,2,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,15,50,68,744,80,12
403,24,4,3,False,2021-04-26T16:30:00Z,2,3,3,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,16,2,50,-49,708,13,62
403,32,14,4,False,2021-05-03T16:30:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,9,6,50,-29,684,12,41
403,37,7,0,True,2021-05-09T13:00:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-45,641,2,47
403,48,9,4,False,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,14,7,50,-28,616,3,31
403,49,8,8,True,2021-05-18T16:30:00Z,3,0,7,90,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,6,7,50,-25,593,6,31
403,61,15,8,False,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,8,8,49,2,597,16,14
403,66,11,4,True,2021-07-03T15:30:00Z,3,1,9,90,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,7,49,56,661,66,10
403,75,2,0,False,2021-07-11T13:00:00Z,5,1,10,90,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,6,3,49,61,725,73,12
403,82,1,2,True,2021-07-17T13:00:00Z,0,5,11,90,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,14,8,49,-4,722,29,33
403,91,3,1,False,2021-07-24T15:30:00Z,2,0,12,90,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,4,6,49,5,728,30,25
403,98,13,4,True,2021-07-31T15:30:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,10,8,49,-12,716,15,27
403,108,5,2,False,2021-08-08T15:30:00Z,3,0,14,90,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,9,6,49,-26,691,2,28
403,113,6,0,True,2021-08-15T13:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-66,625,3,69
403,126,1,0,False,2021-08-21T13:00:00Z,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-38,589,3,41
