element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
405,7,12,0,False,2021-04-12T17:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,579,0,0
405,11,10,0,True,2021-04-18T13:00:00Z,0,1,2,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,50,-53,535,2,55
405,24,4,1,False,2021-04-26T16:30:00Z,2,3,3,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,49,-97,441,1,98
405,32,14,0,False,2021-05-03T16:30:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-44,397,0,44
405,37,7,0,True,2021-05-09T13:00:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-43,354,3,46
405,48,9,0,False,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-26,329,0,26
405,49,8,1,True,2021-05-18T16:30:00Z,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-26,303,0,26
405,61,15,1,False,2021-05-23T13:00:00Z,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,-15,288,0,15
405,66,11,0,True,2021-07-03T15:30:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-9,279,0,9
405,75,2,0,False,2021-07-11T13:00:00Z,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-6,273,2,8
405,82,1,1,True,2021-07-17T13:00:00Z,0,5,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,-9,264,0,9
405,91,3,1,False,2021-07-24T15:30:00Z,2,0,12,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46,-3,261,2,5
405,98,13,1,True,2021-07-31T15:30:00Z,1,1,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,-2,259,0,2
405,108,5,1,False,2021-08-08T15:30:00Z,3,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46,0,259,1,1
405,113,6,0,True,2021-08-15T13:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-4,255,0,4
405,126,1,0,False,2021-08-21T13:00:00Z,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-3,252,0,3
