element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
411,7,12,2,False,2021-04-12T17:00:00Z,2,0,1,75,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,65,0,1951,0,0
411,11,10,3,True,2021-04-18T13:00:00Z,0,1,2,90,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,65,-26,1995,70,96
411,24,4,12,False,2021-04-26T16:30:00Z,2,3,3,89,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,65,-399,1603,7,406
411,32,14,3,False,2021-05-03T16:30:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,2,1,64,376,2021,445,69
411,37,7,3,True,2021-05-09T13:00:00Z,2,0,5,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,5,64,-58,2003,116,174
411,48,9,1,False,2021-05-13T16:30:00Z,1,1,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,64,-24,1993,78,102
411,49,8,3,True,2021-05-18T16:30:00Z,3,0,7,87,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,64,-16,1986,141,157
411,61,15,3,False,2021-05-23T13:00:00Z,0,0,8,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,-41,1951,64,105
411,66,11,2,True,2021-07-03T15:30:00Z,3,1,9,73,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,63,-71,1882,42,113
411,75,2,2,False,2021-07-11T13:00:00Z,5,1,10,90,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,1,63,-116,1769,17,133
411,82,1,1,True,2021-07-17T13:00:00Z,0,5,11,56,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,62,-102,1667,19,121
411,91,3,1,False,2021-07-24T15:30:00Z,2,0,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,62,-111,1557,12,123
411,98,13,2,True,2021-07-31T15:30:00Z,1,1,13,84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,62,-71,1489,14,85
411,108,5,2,False,2021-08-08T15:30:00Z,3,0,14,68,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,61,-93,1396,3,96
411,113,6,12,True,2021-08-15T13:00:00Z,3,0,15,77,1,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,4,61,-78,1319,5,83
411,126,1,1,False,2021-08-21T13:00:00Z,3,0,16,57,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,61,-6,1318,30,36
