element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
417,7,12,3,False,2021-04-12T17:00:00Z,2,0,1,89,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,60,0,3735,0,0
417,11,10,2,True,2021-04-18T13:00:00Z,0,1,2,67,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,60,57,3961,200,143
417,24,4,5,False,2021-04-26T16:30:00Z,2,3,3,70,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,60,-542,3442,52,594
417,32,14,3,False,2021-05-03T16:30:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,3,59,-251,3197,27,278
417,37,7,2,True,2021-05-09T13:00:00Z,2,0,5,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,59,-301,2905,20,321
417,48,9,2,False,2021-05-13T16:30:00Z,1,1,6,73,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,58,-206,2705,17,223
417,49,8,1,True,2021-05-18T16:30:00Z,3,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,-255,2450,13,268
417,61,15,1,False,2021-05-23T13:00:00Z,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,57,-263,2192,5,268
417,66,11,2,True,2021-07-03T15:30:00Z,3,1,9,73,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,56,-114,2079,5,119
417,75,2,0,False,2021-07-11T13:00:00Z,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-94,1986,6,100
417,82,1,0,True,2021-07-17T13:00:00Z,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-113,1874,1,114
417,91,3,0,False,2021-07-24T15:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-116,1758,0,116
417,98,13,1,True,2021-07-31T15:30:00Z,1,1,13,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,-52,1706,1,53
417,108,5,4,False,2021-08-08T15:30:00Z,3,0,14,68,0,0,0,3,0,0,0,0,0,0,1,1,0,2,1,0,6,56,-15,1694,3,18
417,113,6,1,True,2021-08-15T13:00:00Z,3,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,-23,1672,0,23
417,126,1,1,False,2021-08-21T13:00:00Z,3,0,16,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-23,1652,1,24
