element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
420,8,10,5,False,2021-04-12T17:00:00Z,0.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,7,11,45,0,55,0,0
420,14,8,7,True,2021-04-18T13:00:00Z,5.0,0.0,2,90,0,1,1,0,0,0,1,0,0,0,1,1,2,1,1,6,5,45,38,135,52,14
420,21,1,4,False,2021-04-25T15:30:00Z,1.0,1.0,3,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,5,45,628,845,706,78
420,30,13,4,True,2021-05-02T13:00:00Z,1.0,2.0,4,90,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,7,7,46,991,1892,1066,75
420,39,14,3,False,2021-05-09T13:00:00Z,1.0,0.0,5,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,6,46,784,2734,907,123
420,42,7,4,False,2021-05-12T16:30:00Z,2.0,0.0,6,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,7,13,47,201,2947,304,103
420,56,12,3,True,2021-05-17T16:30:00Z,1.0,2.0,7,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,7,47,418,3381,519,101
420,58,3,10,True,2021-05-22T15:30:00Z,3.0,0.0,8,90,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,8,10,47,233,3627,337,104
420,66,16,3,False,2021-07-03T15:30:00Z,3.0,1.0,9,90,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,4,8,48,550,4215,737,187
420,80,4,6,True,2021-07-11T15:30:00Z,2.0,3.0,10,90,0,1,0,3,0,0,0,0,0,0,0,1,2,1,0,2,10,48,364,4597,478,114
420,85,5,3,False,2021-07-17T15:30:00Z,3.0,0.0,11,90,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,5,8,49,615,5233,718,103
420,96,15,4,True,2021-07-26T17:00:00Z,0.0,1.0,12,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,14,5,50,666,5928,793,127
420,104,2,7,True,2021-08-01T15:30:00Z,1.0,1.0,13,90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,50,437,6398,585,148
420,105,6,2,False,2021-08-08T13:00:00Z,5.0,0.0,14,90,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,5,51,412,6828,572,160
420,120,9,4,True,2021-08-15T15:30:00Z,1.0,2.0,15,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,9,8,51,81,6927,344,263
420,128,10,0,True,2021-08-23T17:00:00Z,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,106,7050,427,321
